serum,strain,plate_barcode,dilution_factor,frac_infectivity_raw,frac_infectivity_ceiling
seqneut25to26_sera_0037,A/Alagoas/4130/2025_H3N2,plate13-A/Alagoas/4130/2025_H3N2,40,0.3568,0.3568
seqneut25to26_sera_0037,A/Alagoas/4130/2025_H3N2,plate13-A/Alagoas/4130/2025_H3N2,92,0.556,0.556
seqneut25to26_sera_0037,A/Alagoas/4130/2025_H3N2,plate13-A/Alagoas/4130/2025_H3N2,212,0.7314,0.7314
seqneut25to26_sera_0037,A/Alagoas/4130/2025_H3N2,plate13-A/Alagoas/4130/2025_H3N2,487,0.9141,0.9141
seqneut25to26_sera_0037,A/Alagoas/4130/2025_H3N2,plate13-A/Alagoas/4130/2025_H3N2,1119,1.108,1
seqneut25to26_sera_0037,A/Alagoas/4130/2025_H3N2,plate13-A/Alagoas/4130/2025_H3N2,2575,0.7503,0.7503
seqneut25to26_sera_0037,A/Alagoas/4130/2025_H3N2,plate13-A/Alagoas/4130/2025_H3N2,5921,0.8594,0.8594
seqneut25to26_sera_0037,A/Alagoas/4130/2025_H3N2,plate13-A/Alagoas/4130/2025_H3N2,1.362e+04,1.045,1
seqneut25to26_sera_0037,A/Anapolis/LEIAL6543/2025_H3N2,plate13-A/Anapolis/LEIAL6543/2025_H3N2,40,0.4239,0.4239
seqneut25to26_sera_0037,A/Anapolis/LEIAL6543/2025_H3N2,plate13-A/Anapolis/LEIAL6543/2025_H3N2,92,0.5576,0.5576
seqneut25to26_sera_0037,A/Anapolis/LEIAL6543/2025_H3N2,plate13-A/Anapolis/LEIAL6543/2025_H3N2,212,0.6365,0.6365
seqneut25to26_sera_0037,A/Anapolis/LEIAL6543/2025_H3N2,plate13-A/Anapolis/LEIAL6543/2025_H3N2,487,0.8612,0.8612
seqneut25to26_sera_0037,A/Anapolis/LEIAL6543/2025_H3N2,plate13-A/Anapolis/LEIAL6543/2025_H3N2,1119,0.9,0.9
seqneut25to26_sera_0037,A/Anapolis/LEIAL6543/2025_H3N2,plate13-A/Anapolis/LEIAL6543/2025_H3N2,2575,0.7398,0.7398
seqneut25to26_sera_0037,A/Anapolis/LEIAL6543/2025_H3N2,plate13-A/Anapolis/LEIAL6543/2025_H3N2,5921,0.8388,0.8388
seqneut25to26_sera_0037,A/Anapolis/LEIAL6543/2025_H3N2,plate13-A/Anapolis/LEIAL6543/2025_H3N2,1.362e+04,0.7418,0.7418
seqneut25to26_sera_0037,A/Andalucia/PMC-00977/2025_H1N1,plate13-A/Andalucia/PMC-00977/2025_H1N1,40,0.2772,0.2772
seqneut25to26_sera_0037,A/Andalucia/PMC-00977/2025_H1N1,plate13-A/Andalucia/PMC-00977/2025_H1N1,92,0.5823,0.5823
seqneut25to26_sera_0037,A/Andalucia/PMC-00977/2025_H1N1,plate13-A/Andalucia/PMC-00977/2025_H1N1,212,0.7863,0.7863
seqneut25to26_sera_0037,A/Andalucia/PMC-00977/2025_H1N1,plate13-A/Andalucia/PMC-00977/2025_H1N1,487,0.8919,0.8919
seqneut25to26_sera_0037,A/Andalucia/PMC-00977/2025_H1N1,plate13-A/Andalucia/PMC-00977/2025_H1N1,1119,1.134,1
seqneut25to26_sera_0037,A/Andalucia/PMC-00977/2025_H1N1,plate13-A/Andalucia/PMC-00977/2025_H1N1,2575,0.813,0.813
seqneut25to26_sera_0037,A/Andalucia/PMC-00977/2025_H1N1,plate13-A/Andalucia/PMC-00977/2025_H1N1,5921,0.8038,0.8038
seqneut25to26_sera_0037,A/Andalucia/PMC-00977/2025_H1N1,plate13-A/Andalucia/PMC-00977/2025_H1N1,1.362e+04,0.8957,0.8957
seqneut25to26_sera_0037,A/Aragon/2046/2025_H1N1,plate13-A/Aragon/2046/2025_H1N1,40,0.2358,0.2358
seqneut25to26_sera_0037,A/Aragon/2046/2025_H1N1,plate13-A/Aragon/2046/2025_H1N1,92,0.5572,0.5572
seqneut25to26_sera_0037,A/Aragon/2046/2025_H1N1,plate13-A/Aragon/2046/2025_H1N1,212,0.6872,0.6872
seqneut25to26_sera_0037,A/Aragon/2046/2025_H1N1,plate13-A/Aragon/2046/2025_H1N1,487,0.8296,0.8296
seqneut25to26_sera_0037,A/Aragon/2046/2025_H1N1,plate13-A/Aragon/2046/2025_H1N1,1119,0.8664,0.8664
seqneut25to26_sera_0037,A/Aragon/2046/2025_H1N1,plate13-A/Aragon/2046/2025_H1N1,2575,0.738,0.738
seqneut25to26_sera_0037,A/Aragon/2046/2025_H1N1,plate13-A/Aragon/2046/2025_H1N1,5921,0.7261,0.7261
seqneut25to26_sera_0037,A/Aragon/2046/2025_H1N1,plate13-A/Aragon/2046/2025_H1N1,1.362e+04,0.7273,0.7273
seqneut25to26_sera_0037,A/Arica/59150/2025_H3N2,plate13-A/Arica/59150/2025_H3N2,40,0.2825,0.2825
seqneut25to26_sera_0037,A/Arica/59150/2025_H3N2,plate13-A/Arica/59150/2025_H3N2,92,0.4005,0.4005
seqneut25to26_sera_0037,A/Arica/59150/2025_H3N2,plate13-A/Arica/59150/2025_H3N2,212,0.5572,0.5572
seqneut25to26_sera_0037,A/Arica/59150/2025_H3N2,plate13-A/Arica/59150/2025_H3N2,487,0.8392,0.8392
seqneut25to26_sera_0037,A/Arica/59150/2025_H3N2,plate13-A/Arica/59150/2025_H3N2,1119,0.8535,0.8535
seqneut25to26_sera_0037,A/Arica/59150/2025_H3N2,plate13-A/Arica/59150/2025_H3N2,2575,0.7094,0.7094
seqneut25to26_sera_0037,A/Arica/59150/2025_H3N2,plate13-A/Arica/59150/2025_H3N2,5921,0.8726,0.8726
seqneut25to26_sera_0037,A/Arica/59150/2025_H3N2,plate13-A/Arica/59150/2025_H3N2,1.362e+04,0.9589,0.9589
seqneut25to26_sera_0037,A/Bahia/3102/2025_H3N2,plate13-A/Bahia/3102/2025_H3N2,40,0.2147,0.2147
seqneut25to26_sera_0037,A/Bahia/3102/2025_H3N2,plate13-A/Bahia/3102/2025_H3N2,92,0.6768,0.6768
seqneut25to26_sera_0037,A/Bahia/3102/2025_H3N2,plate13-A/Bahia/3102/2025_H3N2,212,0.5875,0.5875
seqneut25to26_sera_0037,A/Bahia/3102/2025_H3N2,plate13-A/Bahia/3102/2025_H3N2,487,0.7156,0.7156
seqneut25to26_sera_0037,A/Bahia/3102/2025_H3N2,plate13-A/Bahia/3102/2025_H3N2,1119,0.8164,0.8164
seqneut25to26_sera_0037,A/Bahia/3102/2025_H3N2,plate13-A/Bahia/3102/2025_H3N2,2575,0.7153,0.7153
seqneut25to26_sera_0037,A/Bahia/3102/2025_H3N2,plate13-A/Bahia/3102/2025_H3N2,5921,0.8129,0.8129
seqneut25to26_sera_0037,A/Bahia/3102/2025_H3N2,plate13-A/Bahia/3102/2025_H3N2,1.362e+04,0.719,0.719
seqneut25to26_sera_0037,A/Bangkok/1803/2025_H1N1,plate13-A/Bangkok/1803/2025_H1N1,40,0.1955,0.1955
seqneut25to26_sera_0037,A/Bangkok/1803/2025_H1N1,plate13-A/Bangkok/1803/2025_H1N1,92,0.6751,0.6751
seqneut25to26_sera_0037,A/Bangkok/1803/2025_H1N1,plate13-A/Bangkok/1803/2025_H1N1,212,0.9082,0.9082
seqneut25to26_sera_0037,A/Bangkok/1803/2025_H1N1,plate13-A/Bangkok/1803/2025_H1N1,487,0.9217,0.9217
seqneut25to26_sera_0037,A/Bangkok/1803/2025_H1N1,plate13-A/Bangkok/1803/2025_H1N1,1119,1.035,1
seqneut25to26_sera_0037,A/Bangkok/1803/2025_H1N1,plate13-A/Bangkok/1803/2025_H1N1,2575,0.947,0.947
seqneut25to26_sera_0037,A/Bangkok/1803/2025_H1N1,plate13-A/Bangkok/1803/2025_H1N1,5921,0.944,0.944
seqneut25to26_sera_0037,A/Bangkok/1803/2025_H1N1,plate13-A/Bangkok/1803/2025_H1N1,1.362e+04,0.9217,0.9217
seqneut25to26_sera_0037,A/Bangkok/P2229/2025_H1N1,plate13-A/Bangkok/P2229/2025_H1N1,40,0.1882,0.1882
seqneut25to26_sera_0037,A/Bangkok/P2229/2025_H1N1,plate13-A/Bangkok/P2229/2025_H1N1,92,0.4671,0.4671
seqneut25to26_sera_0037,A/Bangkok/P2229/2025_H1N1,plate13-A/Bangkok/P2229/2025_H1N1,212,0.7889,0.7889
seqneut25to26_sera_0037,A/Bangkok/P2229/2025_H1N1,plate13-A/Bangkok/P2229/2025_H1N1,487,0.9963,0.9963
seqneut25to26_sera_0037,A/Bangkok/P2229/2025_H1N1,plate13-A/Bangkok/P2229/2025_H1N1,1119,0.9992,0.9992
seqneut25to26_sera_0037,A/Bangkok/P2229/2025_H1N1,plate13-A/Bangkok/P2229/2025_H1N1,2575,0.8029,0.8029
seqneut25to26_sera_0037,A/Bangkok/P2229/2025_H1N1,plate13-A/Bangkok/P2229/2025_H1N1,5921,1.007,1
seqneut25to26_sera_0037,A/Bangkok/P2229/2025_H1N1,plate13-A/Bangkok/P2229/2025_H1N1,1.362e+04,0.8211,0.8211
seqneut25to26_sera_0037,A/Bangkok/P2323/2025_H3N2,plate13-A/Bangkok/P2323/2025_H3N2,40,0.3916,0.3916
seqneut25to26_sera_0037,A/Bangkok/P2323/2025_H3N2,plate13-A/Bangkok/P2323/2025_H3N2,92,0.647,0.647
seqneut25to26_sera_0037,A/Bangkok/P2323/2025_H3N2,plate13-A/Bangkok/P2323/2025_H3N2,212,0.6944,0.6944
seqneut25to26_sera_0037,A/Bangkok/P2323/2025_H3N2,plate13-A/Bangkok/P2323/2025_H3N2,487,0.8139,0.8139
seqneut25to26_sera_0037,A/Bangkok/P2323/2025_H3N2,plate13-A/Bangkok/P2323/2025_H3N2,1119,0.9057,0.9057
seqneut25to26_sera_0037,A/Bangkok/P2323/2025_H3N2,plate13-A/Bangkok/P2323/2025_H3N2,2575,0.7243,0.7243
seqneut25to26_sera_0037,A/Bangkok/P2323/2025_H3N2,plate13-A/Bangkok/P2323/2025_H3N2,5921,0.881,0.881
seqneut25to26_sera_0037,A/Bangkok/P2323/2025_H3N2,plate13-A/Bangkok/P2323/2025_H3N2,1.362e+04,0.7031,0.7031
seqneut25to26_sera_0037,A/Bangkok/P2390/2025_H3N2,plate13-A/Bangkok/P2390/2025_H3N2,40,0.2752,0.2752
seqneut25to26_sera_0037,A/Bangkok/P2390/2025_H3N2,plate13-A/Bangkok/P2390/2025_H3N2,92,0.5445,0.5445
seqneut25to26_sera_0037,A/Bangkok/P2390/2025_H3N2,plate13-A/Bangkok/P2390/2025_H3N2,212,0.6792,0.6792
seqneut25to26_sera_0037,A/Bangkok/P2390/2025_H3N2,plate13-A/Bangkok/P2390/2025_H3N2,487,0.5945,0.5945
seqneut25to26_sera_0037,A/Bangkok/P2390/2025_H3N2,plate13-A/Bangkok/P2390/2025_H3N2,1119,0.7848,0.7848
seqneut25to26_sera_0037,A/Bangkok/P2390/2025_H3N2,plate13-A/Bangkok/P2390/2025_H3N2,2575,0.5885,0.5885
seqneut25to26_sera_0037,A/Bangkok/P2390/2025_H3N2,plate13-A/Bangkok/P2390/2025_H3N2,5921,0.6896,0.6896
seqneut25to26_sera_0037,A/Bangkok/P2390/2025_H3N2,plate13-A/Bangkok/P2390/2025_H3N2,1.362e+04,0.5194,0.5194
seqneut25to26_sera_0037,A/Bangkok/P2391/2025_H3N2,plate13-A/Bangkok/P2391/2025_H3N2,40,0.5796,0.5796
seqneut25to26_sera_0037,A/Bangkok/P2391/2025_H3N2,plate13-A/Bangkok/P2391/2025_H3N2,92,0.7632,0.7632
seqneut25to26_sera_0037,A/Bangkok/P2391/2025_H3N2,plate13-A/Bangkok/P2391/2025_H3N2,212,0.7647,0.7647
seqneut25to26_sera_0037,A/Bangkok/P2391/2025_H3N2,plate13-A/Bangkok/P2391/2025_H3N2,487,0.7218,0.7218
