virus,cohort,n_sera,median_titer,geomean_titer,titer_q1,titer_q3,frac_w_titer_below_140
A/Alagoas/4130/2025_H3N2,All,253,524.8,549.5,234.3,1295,0.1186
A/Alagoas/4130/2025_H3N2,CTS,40,931.8,1019,409.5,1765,0
A/Alagoas/4130/2025_H3N2,HKU,48,268.1,311,185.7,429.6,0.1667
A/Alagoas/4130/2025_H3N2,NIID,8,248,366.8,141.3,653.8,0.25
A/Alagoas/4130/2025_H3N2,PENN,118,611.8,643.8,309.4,1410,0.05932
A/Alagoas/4130/2025_H3N2,SCH,39,227.1,395.5,92.81,1298,0.3333
A/Alagoas/4130/2025_H3N2,PENN_0d-post-vax,59,460.7,436.9,236.6,869,0.1186
A/Alagoas/4130/2025_H3N2,PENN_28d-post-vax,59,877.5,948.6,433.3,1897,0
A/Anapolis/LEIAL6543/2025_H3N2,All,252,463.9,500.7,207,1108,0.1429
A/Anapolis/LEIAL6543/2025_H3N2,CTS,40,740.3,832.5,379.4,1947,0.05
A/Anapolis/LEIAL6543/2025_H3N2,HKU,48,248.6,299.9,143.6,483.1,0.2083
A/Anapolis/LEIAL6543/2025_H3N2,NIID,8,189.2,241.9,86.39,382.4,0.375
A/Anapolis/LEIAL6543/2025_H3N2,PENN,118,588.6,643.6,303.2,1198,0.02542
A/Anapolis/LEIAL6543/2025_H3N2,SCH,38,216.6,299.3,61.34,906.5,0.4737
A/Anapolis/LEIAL6543/2025_H3N2,PENN_0d-post-vax,59,460.8,458.7,247.9,792.2,0.05085
A/Anapolis/LEIAL6543/2025_H3N2,PENN_28d-post-vax,59,830.4,902.9,421.4,1662,0
A/Andalucia/PMC-00977/2025_H1N1,All,253,182,238.5,95.68,513.5,0.4032
A/Andalucia/PMC-00977/2025_H1N1,CTS,40,387.1,487,190.8,1241,0.125
A/Andalucia/PMC-00977/2025_H1N1,HKU,48,186.7,253.3,123.3,353.4,0.3542
A/Andalucia/PMC-00977/2025_H1N1,NIID,8,73.28,82.92,52.81,147.2,0.625
