serum,strain,plate_barcode,dilution_factor,frac_infectivity_raw,frac_infectivity_ceiling
seqneut25to26_sera_0012,A/Alagoas/4130/2025_H3N2,plate2-A/Alagoas/4130/2025_H3N2,40,0,0
seqneut25to26_sera_0012,A/Alagoas/4130/2025_H3N2,plate2-A/Alagoas/4130/2025_H3N2,92,0.0008801,0.0008801
seqneut25to26_sera_0012,A/Alagoas/4130/2025_H3N2,plate2-A/Alagoas/4130/2025_H3N2,212,0.009346,0.009346
seqneut25to26_sera_0012,A/Alagoas/4130/2025_H3N2,plate2-A/Alagoas/4130/2025_H3N2,487,0.0775,0.0775
seqneut25to26_sera_0012,A/Alagoas/4130/2025_H3N2,plate2-A/Alagoas/4130/2025_H3N2,1119,0.6515,0.6515
seqneut25to26_sera_0012,A/Alagoas/4130/2025_H3N2,plate2-A/Alagoas/4130/2025_H3N2,2575,0.7217,0.7217
seqneut25to26_sera_0012,A/Alagoas/4130/2025_H3N2,plate2-A/Alagoas/4130/2025_H3N2,5921,0.6703,0.6703
seqneut25to26_sera_0012,A/Alagoas/4130/2025_H3N2,plate2-A/Alagoas/4130/2025_H3N2,1.362e+04,1.144,1
seqneut25to26_sera_0012,A/Anapolis/LEIAL6543/2025_H3N2,plate2-A/Anapolis/LEIAL6543/2025_H3N2,40,0,0
seqneut25to26_sera_0012,A/Anapolis/LEIAL6543/2025_H3N2,plate2-A/Anapolis/LEIAL6543/2025_H3N2,92,0.002366,0.002366
seqneut25to26_sera_0012,A/Anapolis/LEIAL6543/2025_H3N2,plate2-A/Anapolis/LEIAL6543/2025_H3N2,212,0.04974,0.04974
seqneut25to26_sera_0012,A/Anapolis/LEIAL6543/2025_H3N2,plate2-A/Anapolis/LEIAL6543/2025_H3N2,487,0.143,0.143
seqneut25to26_sera_0012,A/Anapolis/LEIAL6543/2025_H3N2,plate2-A/Anapolis/LEIAL6543/2025_H3N2,1119,0.6286,0.6286
seqneut25to26_sera_0012,A/Anapolis/LEIAL6543/2025_H3N2,plate2-A/Anapolis/LEIAL6543/2025_H3N2,2575,0.7534,0.7534
seqneut25to26_sera_0012,A/Anapolis/LEIAL6543/2025_H3N2,plate2-A/Anapolis/LEIAL6543/2025_H3N2,5921,0.5698,0.5698
seqneut25to26_sera_0012,A/Anapolis/LEIAL6543/2025_H3N2,plate2-A/Anapolis/LEIAL6543/2025_H3N2,1.362e+04,1.033,1
