serum,strain,plate_barcode,dilution_factor,frac_infectivity_raw,frac_infectivity_ceiling
seqneut25to26_sera_0001,A/Alagoas/4130/2025_H3N2,plate1-A/Alagoas/4130/2025_H3N2,40,0.3764,0.3764
seqneut25to26_sera_0001,A/Alagoas/4130/2025_H3N2,plate1-A/Alagoas/4130/2025_H3N2,92,0.3951,0.3951
seqneut25to26_sera_0001,A/Alagoas/4130/2025_H3N2,plate1-A/Alagoas/4130/2025_H3N2,212,0.4851,0.4851
seqneut25to26_sera_0001,A/Alagoas/4130/2025_H3N2,plate1-A/Alagoas/4130/2025_H3N2,487,0.66,0.66
seqneut25to26_sera_0001,A/Alagoas/4130/2025_H3N2,plate1-A/Alagoas/4130/2025_H3N2,1119,0.5993,0.5993
seqneut25to26_sera_0001,A/Alagoas/4130/2025_H3N2,plate1-A/Alagoas/4130/2025_H3N2,2575,0.8548,0.8548
seqneut25to26_sera_0001,A/Alagoas/4130/2025_H3N2,plate1-A/Alagoas/4130/2025_H3N2,5921,0.8244,0.8244
seqneut25to26_sera_0001,A/Alagoas/4130/2025_H3N2,plate1-A/Alagoas/4130/2025_H3N2,1.362e+04,0.8436,0.8436
seqneut25to26_sera_0001,A/Anapolis/LEIAL6543/2025_H3N2,plate1-A/Anapolis/LEIAL6543/2025_H3N2,40,0.2972,0.2972
seqneut25to26_sera_0001,A/Anapolis/LEIAL6543/2025_H3N2,plate1-A/Anapolis/LEIAL6543/2025_H3N2,92,0.3788,0.3788
seqneut25to26_sera_0001,A/Anapolis/LEIAL6543/2025_H3N2,plate1-A/Anapolis/LEIAL6543/2025_H3N2,212,0.4718,0.4718
seqneut25to26_sera_0001,A/Anapolis/LEIAL6543/2025_H3N2,plate1-A/Anapolis/LEIAL6543/2025_H3N2,487,0.6709,0.6709
seqneut25to26_sera_0001,A/Anapolis/LEIAL6543/2025_H3N2,plate1-A/Anapolis/LEIAL6543/2025_H3N2,1119,0.6926,0.6926
seqneut25to26_sera_0001,A/Anapolis/LEIAL6543/2025_H3N2,plate1-A/Anapolis/LEIAL6543/2025_H3N2,2575,0.6964,0.6964
seqneut25to26_sera_0001,A/Anapolis/LEIAL6543/2025_H3N2,plate1-A/Anapolis/LEIAL6543/2025_H3N2,5921,0.5569,0.5569
seqneut25to26_sera_0001,A/Anapolis/LEIAL6543/2025_H3N2,plate1-A/Anapolis/LEIAL6543/2025_H3N2,1.362e+04,0.6276,0.6276
seqneut25to26_sera_0001,A/Andalucia/PMC-00977/2025_H1N1,plate1-A/Andalucia/PMC-00977/2025_H1N1,40,0.5568,0.5568
seqneut25to26_sera_0001,A/Andalucia/PMC-00977/2025_H1N1,plate1-A/Andalucia/PMC-00977/2025_H1N1,92,0.8901,0.8901
seqneut25to26_sera_0001,A/Andalucia/PMC-00977/2025_H1N1,plate1-A/Andalucia/PMC-00977/2025_H1N1,212,1.038,1
seqneut25to26_sera_0001,A/Andalucia/PMC-00977/2025_H1N1,plate1-A/Andalucia/PMC-00977/2025_H1N1,487,0.9227,0.9227
seqneut25to26_sera_0001,A/Andalucia/PMC-00977/2025_H1N1,plate1-A/Andalucia/PMC-00977/2025_H1N1,1119,1.023,1
seqneut25to26_sera_0001,A/Andalucia/PMC-00977/2025_H1N1,plate1-A/Andalucia/PMC-00977/2025_H1N1,2575,1.094,1
seqneut25to26_sera_0001,A/Andalucia/PMC-00977/2025_H1N1,plate1-A/Andalucia/PMC-00977/2025_H1N1,5921,0.9346,0.9346
seqneut25to26_sera_0001,A/Andalucia/PMC-00977/2025_H1N1,plate1-A/Andalucia/PMC-00977/2025_H1N1,1.362e+04,0.9635,0.9635
seqneut25to26_sera_0001,A/Aragon/2046/2025_H1N1,plate1-A/Aragon/2046/2025_H1N1,40,0.7386,0.7386
seqneut25to26_sera_0001,A/Aragon/2046/2025_H1N1,plate1-A/Aragon/2046/2025_H1N1,92,0.8253,0.8253
seqneut25to26_sera_0001,A/Aragon/2046/2025_H1N1,plate1-A/Aragon/2046/2025_H1N1,212,0.9942,0.9942
seqneut25to26_sera_0001,A/Aragon/2046/2025_H1N1,plate1-A/Aragon/2046/2025_H1N1,487,0.6729,0.6729
seqneut25to26_sera_0001,A/Aragon/2046/2025_H1N1,plate1-A/Aragon/2046/2025_H1N1,1119,0.8886,0.8886
seqneut25to26_sera_0001,A/Aragon/2046/2025_H1N1,plate1-A/Aragon/2046/2025_H1N1,2575,1.191,1
seqneut25to26_sera_0001,A/Aragon/2046/2025_H1N1,plate1-A/Aragon/2046/2025_H1N1,5921,0.9872,0.9872
seqneut25to26_sera_0001,A/Aragon/2046/2025_H1N1,plate1-A/Aragon/2046/2025_H1N1,1.362e+04,0.8582,0.8582
seqneut25to26_sera_0001,A/Arica/59150/2025_H3N2,plate1-A/Arica/59150/2025_H3N2,40,0.2964,0.2964
seqneut25to26_sera_0001,A/Arica/59150/2025_H3N2,plate1-A/Arica/59150/2025_H3N2,92,0.5387,0.5387
seqneut25to26_sera_0001,A/Arica/59150/2025_H3N2,plate1-A/Arica/59150/2025_H3N2,212,0.7039,0.7039
seqneut25to26_sera_0001,A/Arica/59150/2025_H3N2,plate1-A/Arica/59150/2025_H3N2,487,0.7777,0.7777
seqneut25to26_sera_0001,A/Arica/59150/2025_H3N2,plate1-A/Arica/59150/2025_H3N2,1119,0.7089,0.7089
seqneut25to26_sera_0001,A/Arica/59150/2025_H3N2,plate1-A/Arica/59150/2025_H3N2,2575,0.8136,0.8136
seqneut25to26_sera_0001,A/Arica/59150/2025_H3N2,plate1-A/Arica/59150/2025_H3N2,5921,0.9384,0.9384
seqneut25to26_sera_0001,A/Arica/59150/2025_H3N2,plate1-A/Arica/59150/2025_H3N2,1.362e+04,0.8382,0.8382
seqneut25to26_sera_0001,A/Bahia/3102/2025_H3N2,plate1-A/Bahia/3102/2025_H3N2,40,0.1961,0.1961
seqneut25to26_sera_0001,A/Bahia/3102/2025_H3N2,plate1-A/Bahia/3102/2025_H3N2,92,0.2619,0.2619
seqneut25to26_sera_0001,A/Bahia/3102/2025_H3N2,plate1-A/Bahia/3102/2025_H3N2,212,0.5571,0.5571
seqneut25to26_sera_0001,A/Bahia/3102/2025_H3N2,plate1-A/Bahia/3102/2025_H3N2,487,0.6321,0.6321
seqneut25to26_sera_0001,A/Bahia/3102/2025_H3N2,plate1-A/Bahia/3102/2025_H3N2,1119,0.5894,0.5894
seqneut25to26_sera_0001,A/Bahia/3102/2025_H3N2,plate1-A/Bahia/3102/2025_H3N2,2575,0.6071,0.6071
seqneut25to26_sera_0001,A/Bahia/3102/2025_H3N2,plate1-A/Bahia/3102/2025_H3N2,5921,0.8194,0.8194
