serum,virus,n_plates,sd_log2,status,run
seqneut25to26_sera_4018,A/Alagoas/4130/2025_H3N2,2,0.8163,shared,no_collapse
seqneut25to26_sera_4018,A/Anapolis/LEIAL6543/2025_H3N2,2,0.5837,shared,no_collapse
seqneut25to26_sera_4018,A/Andalucia/PMC-00977/2025_H1N1,2,0.4219,shared,no_collapse
seqneut25to26_sera_4018,A/Aragon/2046/2025_H1N1,2,0.2644,shared,no_collapse
seqneut25to26_sera_4018,A/Arica/59150/2025_H3N2,2,0.0327,shared,no_collapse
seqneut25to26_sera_4018,A/Bahia/3102/2025_H3N2,2,0.0377,shared,no_collapse
seqneut25to26_sera_4018,A/Bangkok/1803/2025_H1N1,2,0.4395,shared,no_collapse
seqneut25to26_sera_4018,A/Bangkok/P2229/2025_H1N1,2,0.4335,shared,no_collapse
seqneut25to26_sera_4018,A/Bangkok/P2323/2025_H3N2,2,0.7932,shared,no_collapse
seqneut25to26_sera_4018,A/Bangkok/P2390/2025_H3N2,2,0.4877,shared,no_collapse
seqneut25to26_sera_4018,A/Bangkok/P2391/2025_H3N2,2,0.3034,shared,no_collapse
seqneut25to26_sera_4018,A/Bangkok/P2572/2025_H3N2,2,0.4042,shared,no_collapse
seqneut25to26_sera_4018,A/Bangkok/P2921/2025_H3N2,2,0.0892,shared,no_collapse
seqneut25to26_sera_4018,A/Bangkok/P3067/2025_H1N1,2,0.033,shared,no_collapse
seqneut25to26_sera_4018,A/Bangkok/P3263/2025_H3N2,2,0.5316,shared,no_collapse
seqneut25to26_sera_4018,A/Belgium/H0097/2025_H3N2,2,0.5837,shared,no_collapse
seqneut25to26_sera_4018,A/Bhutan/1267/2025_H3N2,2,0.7291,shared,no_collapse
seqneut25to26_sera_4018,A/Bhutan/7/2025_H3N2,2,1.3766,shared,no_collapse
seqneut25to26_sera_4018,A/BritishColumbia/PHL-2473/2025_H1N1,2,0.3819,shared,no_collapse
seqneut25to26_sera_4018,A/California/61/2025_H3N2,2,0.5302,shared,no_collapse
seqneut25to26_sera_4018,A/California/63/2025_H1N1,2,0.0204,shared,no_collapse
