missing_from,virus,n_titers_missing
collapse,A/SouthAustralia/2527902708/2025_H3N2,6
collapse,A/Ghana/FS-25-7077/2025_H3N2,5
no_collapse,A/Bangkok/P3263/2025_H3N2,5
collapse,A/Croatia/10136RV/2023-egg_H3N2,5
no_collapse,A/SouthAustralia/2527902708/2025_H3N2,5
collapse,A/SouthAustralia/2527213276/2025_H3N2,4
no_collapse,A/SouthAustralia/2527003588/2025_H3N2,4
collapse,A/Bhutan/7/2025_H3N2,3
collapse,A/England/1837737/2025_H3N2,3
collapse,A/Michigan/110/2025_H3N2,3
no_collapse,A/Thailand/8/2022_H3N2,3
collapse,A/Thailand/8/2022_H3N2,2
collapse,A/England/1837734/2025_H3N2,2
no_collapse,A/Ghana/FS-25-7077/2025_H3N2,2
no_collapse,A/SouthAustralia/2525607496/2025_H3N2,2
no_collapse,A/SouthAustralia/2527213276/2025_H3N2,2
collapse,A/SouthAustralia/2527003588/2025_H3N2,2
collapse,A/Bangkok/P2572/2025_H3N2,2
collapse,A/Vermont/73/2025_H3N2,2
no_collapse,A/HongKong/1382/2025_H3N2,2
no_collapse,A/Massachusetts/18/2022_H3N2,2
collapse,A/Guangdong-Maonan/11438/2025_H3N2,2
collapse,A/Massachusetts/18/2022_H3N2,2
collapse,A/California/61/2025_H3N2,1
collapse,A/HongKong/1257/2025_H3N2,1
collapse,A/HongKong/1382/2025_H3N2,1
collapse,A/Guangdong-Meijiang/11256/2025_H3N2,1
collapse,A/Guangxi-Daxin/1643/2025_H3N2,1
collapse,A/DistritoFederal/250106000728/2025_H3N2,1
collapse,A/DistrictOfColumbia/57/2025_H3N2,1
collapse,A/DistritoFederal/2578578201/2025_H3N2,1
collapse,A/Galicia/GA-CHUAC-451/2025_H3N2,1
collapse,A/DistrictOfColumbia/27/2023_H3N2,1
collapse,A/Bhutan/1267/2025_H3N2,1
collapse,A/Bangkok/1803/2025_H1N1,1
collapse,A/Anapolis/LEIAL6543/2025_H3N2,1
collapse,A/Bangkok/P2323/2025_H3N2,1
collapse,A/California/63/2025_H1N1,1
collapse,A/SouthAustralia/2524408801/2025_H3N2,1
collapse,A/Missouri/11/2025_H1N1,1
no_collapse,A/California/61/2025_H3N2,1
no_collapse,A/Bhutan/7/2025_H3N2,1
no_collapse,A/Bhutan/1267/2025_H3N2,1
no_collapse,A/Belgium/H0097/2025_H3N2,1
no_collapse,A/Bangkok/P3067/2025_H1N1,1
collapse,A/Peru/GIHSN-04-1089/2025_H3N2,1
collapse,A/Norway/8976/2025_H3N2,1
collapse,A/Tasmania/2521815682/2025_H3N2,1
no_collapse,A/Lao/820-2750/2025_H3N2,1
no_collapse,A/Guangdong-Meijiang/11256/2025_H3N2,1
no_collapse,A/England/1837737/2025_H3N2,1
no_collapse,A/Galicia/GA-CHUAC-451/2025_H3N2,1
no_collapse,A/DistritoFederal/250106000728/2025_H3N2,1
no_collapse,A/Darwin/1461/2025_H3N2,1
no_collapse,A/Peru/GIHSN-04-1089/2025_H3N2,1
no_collapse,A/Vermont/73/2025_H3N2,1
