level,n_observations,median_count,frac_below_10,frac_below_50,frac_below_100,frac_below_500
per barcode (uncollapsed),74400,4037.0,0.0389,0.0653,0.079,0.1239
"per strain, summed (collapsed)",36400,9239.0,0.0235,0.0429,0.0577,0.085
