run,pc1_frac_var,pc1_to_1_cum_frac_var,pc2_frac_var,pc1_to_2_cum_frac_var,pc3_frac_var,pc1_to_3_cum_frac_var,pc4_frac_var,pc1_to_4_cum_frac_var,pc5_frac_var,pc1_to_5_cum_frac_var
no_collapse,0.5847,0.5847,0.2287,0.8134,0.0457,0.8592,0.026,0.8852,0.0143,0.8995
collapse,0.5834,0.5834,0.2286,0.812,0.0462,0.8582,0.0255,0.8837,0.0142,0.8979
