run,collapsed,n_within_plate_estimates,median_within_plate_sd_log2,n_between_plate_estimates,median_between_plate_sd_log2,mean_replicates_per_plate
no_collapse,False,25480,0.284,91,0.4335,1.997
collapse,True,0,,91,0.4754,1.0
