run,n_curves,mean_r2,median_r2,frac_r2_below_0.9,min_r2,mean_rmsd,median_rmsd,max_rmsd
no_collapse,56403,0.9028,0.9471,0.3137,-0.5084,0.0749,0.0716,0.2859
collapse,27932,0.924,0.9611,0.2297,-1.216,0.064,0.0614,0.2648
