run,group,serum,plate_1,plate_2,n_strains,median_log2_offset,sd_log2_centered,rmsd_log2,pearson_r
no_collapse,human,seqneut25to26_sera_4018,plate16-2,plate25,90,-0.4708,0.7883,0.9097,0.6602
collapse,human,seqneut25to26_sera_4018,plate16-2,plate25,90,-0.5313,0.7915,0.9078,0.6658
