virus,n,median_log2_fc,median_abs_log2_fc
A/Bangkok/P3263/2025_H3N2,297,-0.06577867616965527,0.24512746099160232
A/Croatia/10136RV/2023-egg_H3N2,263,-0.015803678224032502,0.23508034426279423
A/Vermont/73/2025_H3N2,281,-0.08724421465444454,0.22027964953171875
A/Minnesota/96/2025_H3N2,297,0.04694350161027572,0.21111733712054015
A/SouthAfrica/PET37604/2025_H3N2,296,-0.02221748546271929,0.2020506734478209
A/Thailand/8/2022_H3N2,274,0.07581148766393753,0.20090347064343916
A/Queensland/2526516675/2025_H3N2,298,0.02991975374377409,0.19886454956178135
A/Guangxi-Daxin/1643/2025_H3N2,293,-0.005006465547769956,0.1938718942873825
A/Bangkok/P2391/2025_H3N2,286,0.0640899277875473,0.1925269067803943
A/Darwin/1461/2025_H3N2,287,-0.03199114985942053,0.1880922198482331
A/Bhutan/7/2025_H3N2,277,0.021961598427456153,0.18599056872309117
A/SouthAustralia/2527213276/2025_H3N2,295,0.009001726123598175,0.1599659751049387
A/Sydney/1359/2024_H3N2,286,0.0034637558150047987,0.15858590903783032
A/DistrictOfColumbia/27/2023_H3N2,294,-0.008795207424270757,0.15768696032706542
A/DistrictOfColumbia/57/2025_H3N2,285,0.02684161221864123,0.15524808928195455
A/Guangdong-Maonan/11438/2025_H3N2,291,-0.012861262072027202,0.1499504086678085
A/Guangdong-Meijiang/11256/2025_H3N2,292,-0.0009038497529161305,0.1414916706730831
A/SouthAustralia/2527902708/2025_H3N2,280,-0.02385522078834068,0.13870193163445554
A/HongKong/1257/2025_H3N2,285,-0.035093494776681666,0.138033189152587
A/England/1837737/2025_H3N2,272,0.017467655684838324,0.137738169453975
A/SouthAustralia/2525607496/2025_H3N2,280,-0.013434186219613231,0.13584169012235048
A/Massachusetts/18/2022_H3N2,271,0.03551695231947871,0.13491855161439847
A/Ghana/ARI-25-1125/2025_H1N1,298,-0.0028551038331223744,0.11689989417339852
A/Anapolis/LEIAL6543/2025_H3N2,292,-0.006664100600758616,0.11432563923101169
A/Peru/GIHSN-04-1089/2025_H3N2,275,-0.0025739436638279045,0.1109507171516686
A/Bangkok/P2229/2025_H1N1,298,0.025835395458512878,0.11001353655781543
A/Michigan/110/2025_H3N2,271,0.008799929261481765,0.10958277782168224
A/Zacapa/FLU-261/2025_H1N1,300,-0.03317416017924346,0.1091751763824571
A/HongKong/1382/2025_H3N2,301,-0.014075185211721575,0.10828911751681947
A/SouthAustralia/2527003588/2025_H3N2,271,-0.015019974448334139,0.10622607324141242
A/Ghana/FS-25-7077/2025_H3N2,268,0.006490165605077536,0.10329788549211516
A/DistritoFederal/250106000728/2025_H3N2,289,0.006556060445641165,0.10246014620989108
A/SouthAustralia/2523812314/2025_H3N2,290,-0.028649611130147967,0.10188107325216311
A/California/61/2025_H3N2,300,0.0012842879475263302,0.09764361654519149
A/Bahia/3102/2025_H3N2,297,0.012437103238223557,0.09387904700289962
A/England/1837734/2025_H3N2,294,-0.02002166577324971,0.09349033731172707
A/Arica/59150/2025_H3N2,295,0.01874762997069368,0.09224741553067428
A/Victoria/4897/2022_IVR-238_H1N1,281,0.016074762858071523,0.08896669036874272
A/Bangkok/P2572/2025_H3N2,290,-0.0008016287335883554,0.08888575007328381
A/Lao/820-2750/2025_H3N2,288,0.016412650343812896,0.08659385749692872
A/Indonesia/BIOKES-INAD491/2025_H3N2,294,0.011940664290254865,0.08473745744182004
A/California/63/2025_H1N1,292,0.0004415962919943617,0.08438363914151914
A/Belgium/H0097/2025_H3N2,290,0.014570380777476188,0.0843739299536459
A/Bhutan/1267/2025_H3N2,290,-0.004228078011405678,0.08310997392057429
A/Missouri/11/2025_H1N1,294,0.014824191255608188,0.0810983586041405
A/Sydney/400/2025_H1N1,288,0.00593397505212323,0.08050588717815099
A/SouthAustralia/2527612456/2025_H1N1,277,0.021058379396080795,0.08010673919384281
A/SouthAustralia/2524408801/2025_H3N2,283,-0.017073513358941916,0.07996402833455818
A/Indonesia/BIOKES-I-BT074/2025_H3N2,287,-0.011977611686490697,0.07966506664587047
A/Tasmania/2521815682/2025_H3N2,289,-0.005050506176239367,0.07844977411157394
A/Bangkok/P2323/2025_H3N2,292,-0.026302100162117092,0.07762691630122376
A/SouthAfrica/PET37625/2025_H3N2,297,-0.004132512438962621,0.07743994812559762
A/Malaysia/IMR/SARI/2028/2025_H3N2,296,0.018018932790422326,0.07496859816390833
A/DistritoFederal/2578578201/2025_H3N2,276,-0.001173086539624002,0.07255454019215168
A/Alagoas/4130/2025_H3N2,296,-0.010415940746637098,0.07233072720476308
A/Hawaii/70/2019_H1N1,293,0.01027747919582822,0.07215654480337541
A/Wisconsin/588/2019_H1N1,298,0.013609656824897343,0.07137924899060355
A/Malaysia/IMR/SARI/2517/2025_H3N2,290,-0.004140626066444941,0.07127153526624497
A/Norway/8765/2025_H3N2,293,-0.004868491822211496,0.06852621378638446
A/SouthAustralia/2520702747/2025_H1N1,298,-0.0033488406947377314,0.06816186002987079
A/Malaysia/IMR/SARI/2406/2025_H3N2,294,-0.020347052127129395,0.0681413498325254
A/Wisconsin/67/2022_H1N1,301,0.015796088906869343,0.06744703587406065
A/Norway/8976/2025_H3N2,293,-0.006782636897155747,0.06583390077046936
A/Bangkok/P2390/2025_H3N2,295,-0.01236250101771752,0.0653537379940996
A/Galicia/GA-CHUAC-451/2025_H3N2,278,-0.009094704458906921,0.06522364285721771
A/Aragon/2046/2025_H1N1,293,0.02456791969798644,0.06504067338871788
A/Bangkok/P3067/2025_H1N1,290,0.005053848341317391,0.06332256619948096
A/CoteDIvoire/2007/2025_H1N1,300,-0.00017964077304810644,0.06256796616376592
A/Canberra/465/2025_H1N1,299,0.004001930557496536,0.06246096003043533
A/NewSouthWales/2526015584/2025_H3N2,306,-0.012901362736306599,0.0621138045888614
A/Colorado/105/2025_H1N1,289,0.0031342507241323148,0.05980218722017039
A/SouthAustralia/2523012764/2025_H1N1,298,-0.005711020777285469,0.059219661397766465
A/Bangkok/P2921/2025_H3N2,292,-0.005706402788475451,0.0587972957816727
A/Bangkok/1803/2025_H1N1,301,0.014908745974906878,0.05825939797239599
A/SouthAustralia/2519001037/2025_H1N1,299,0.029804960161202487,0.05702210415356834
A/Catalonia/NSVH102689455/2025_H1N1,301,-0.005144831749712253,0.056969517424255045
A/Guangxi-Qingxiu/SWL11742/2025_H1N1,301,-0.002056586293937457,0.053626118085798424
A/SouthAustralia/2524712956/2025_H1N1,303,0.0030108429172468476,0.05168652946051555
