serum,strain,plate_barcode,dilution_factor,frac_infectivity_raw,frac_infectivity_ceiling
seqneut25to26_sera_0023,A/Arica/59150/2025_H3N2,plate3-A/Arica/59150/2025_H3N2,1.362e+04,0.7395,0.7395
seqneut25to26_sera_0023,A/Bahia/3102/2025_H3N2,plate3-A/Bahia/3102/2025_H3N2,40,5.78e-05,5.78e-05
seqneut25to26_sera_0023,A/Bahia/3102/2025_H3N2,plate3-A/Bahia/3102/2025_H3N2,92,0.0001434,0.0001434
seqneut25to26_sera_0023,A/Bahia/3102/2025_H3N2,plate3-A/Bahia/3102/2025_H3N2,212,0,0
seqneut25to26_sera_0023,A/Bahia/3102/2025_H3N2,plate3-A/Bahia/3102/2025_H3N2,487,0.008835,0.008835
seqneut25to26_sera_0023,A/Bahia/3102/2025_H3N2,plate3-A/Bahia/3102/2025_H3N2,1119,0.1634,0.1634
seqneut25to26_sera_0023,A/Bahia/3102/2025_H3N2,plate3-A/Bahia/3102/2025_H3N2,2575,0.4356,0.4356
seqneut25to26_sera_0023,A/Bahia/3102/2025_H3N2,plate3-A/Bahia/3102/2025_H3N2,5921,0.5774,0.5774
seqneut25to26_sera_0023,A/Bahia/3102/2025_H3N2,plate3-A/Bahia/3102/2025_H3N2,1.362e+04,0.8289,0.8289
seqneut25to26_sera_0023,A/Bangkok/1803/2025_H1N1,plate3-A/Bangkok/1803/2025_H1N1,40,0.3115,0.3115
seqneut25to26_sera_0023,A/Bangkok/1803/2025_H1N1,plate3-A/Bangkok/1803/2025_H1N1,92,1.218,1
seqneut25to26_sera_0023,A/Bangkok/1803/2025_H1N1,plate3-A/Bangkok/1803/2025_H1N1,212,1.363,1
seqneut25to26_sera_0023,A/Bangkok/1803/2025_H1N1,plate3-A/Bangkok/1803/2025_H1N1,487,1.421,1
seqneut25to26_sera_0023,A/Bangkok/1803/2025_H1N1,plate3-A/Bangkok/1803/2025_H1N1,1119,1.313,1
seqneut25to26_sera_0023,A/Bangkok/1803/2025_H1N1,plate3-A/Bangkok/1803/2025_H1N1,2575,1.352,1
seqneut25to26_sera_0023,A/Bangkok/1803/2025_H1N1,plate3-A/Bangkok/1803/2025_H1N1,5921,1.009,1
seqneut25to26_sera_0023,A/Bangkok/1803/2025_H1N1,plate3-A/Bangkok/1803/2025_H1N1,1.362e+04,1.121,1
seqneut25to26_sera_0023,A/Bangkok/P2229/2025_H1N1,plate3-A/Bangkok/P2229/2025_H1N1,40,0.07042,0.07042
seqneut25to26_sera_0023,A/Bangkok/P2229/2025_H1N1,plate3-A/Bangkok/P2229/2025_H1N1,92,0.7405,0.7405
seqneut25to26_sera_0023,A/Bangkok/P2229/2025_H1N1,plate3-A/Bangkok/P2229/2025_H1N1,212,1.217,1
seqneut25to26_sera_0023,A/Bangkok/P2229/2025_H1N1,plate3-A/Bangkok/P2229/2025_H1N1,487,1.16,1
seqneut25to26_sera_0023,A/Bangkok/P2229/2025_H1N1,plate3-A/Bangkok/P2229/2025_H1N1,1119,1.116,1
seqneut25to26_sera_0023,A/Bangkok/P2229/2025_H1N1,plate3-A/Bangkok/P2229/2025_H1N1,2575,1.209,1
seqneut25to26_sera_0023,A/Bangkok/P2229/2025_H1N1,plate3-A/Bangkok/P2229/2025_H1N1,5921,0.7834,0.7834
seqneut25to26_sera_0023,A/Bangkok/P2229/2025_H1N1,plate3-A/Bangkok/P2229/2025_H1N1,1.362e+04,1.026,1
seqneut25to26_sera_0023,A/Bangkok/P2323/2025_H3N2,plate3-A/Bangkok/P2323/2025_H3N2,40,8.385e-05,8.385e-05
seqneut25to26_sera_0023,A/Bangkok/P2323/2025_H3N2,plate3-A/Bangkok/P2323/2025_H3N2,92,0,0
seqneut25to26_sera_0023,A/Bangkok/P2323/2025_H3N2,plate3-A/Bangkok/P2323/2025_H3N2,212,0.07096,0.07096
seqneut25to26_sera_0023,A/Bangkok/P2323/2025_H3N2,plate3-A/Bangkok/P2323/2025_H3N2,487,0.36,0.36
seqneut25to26_sera_0023,A/Bangkok/P2323/2025_H3N2,plate3-A/Bangkok/P2323/2025_H3N2,1119,0.8228,0.8228
seqneut25to26_sera_0023,A/Bangkok/P2323/2025_H3N2,plate3-A/Bangkok/P2323/2025_H3N2,2575,1.218,1
seqneut25to26_sera_0023,A/Bangkok/P2323/2025_H3N2,plate3-A/Bangkok/P2323/2025_H3N2,5921,0.909,0.909
seqneut25to26_sera_0023,A/Bangkok/P2323/2025_H3N2,plate3-A/Bangkok/P2323/2025_H3N2,1.362e+04,1.032,1
seqneut25to26_sera_0023,A/Bangkok/P2390/2025_H3N2,plate3-A/Bangkok/P2390/2025_H3N2,40,0,0
seqneut25to26_sera_0023,A/Bangkok/P2390/2025_H3N2,plate3-A/Bangkok/P2390/2025_H3N2,92,0.01653,0.01653
seqneut25to26_sera_0023,A/Bangkok/P2390/2025_H3N2,plate3-A/Bangkok/P2390/2025_H3N2,212,0.2087,0.2087
seqneut25to26_sera_0023,A/Bangkok/P2390/2025_H3N2,plate3-A/Bangkok/P2390/2025_H3N2,487,0.6358,0.6358
seqneut25to26_sera_0023,A/Bangkok/P2390/2025_H3N2,plate3-A/Bangkok/P2390/2025_H3N2,1119,0.8096,0.8096
seqneut25to26_sera_0023,A/Bangkok/P2390/2025_H3N2,plate3-A/Bangkok/P2390/2025_H3N2,2575,0.994,0.994
seqneut25to26_sera_0023,A/Bangkok/P2390/2025_H3N2,plate3-A/Bangkok/P2390/2025_H3N2,5921,0.7178,0.7178
seqneut25to26_sera_0023,A/Bangkok/P2390/2025_H3N2,plate3-A/Bangkok/P2390/2025_H3N2,1.362e+04,0.917,0.917
seqneut25to26_sera_0023,A/Bangkok/P2391/2025_H3N2,plate3-A/Bangkok/P2391/2025_H3N2,40,0,0
seqneut25to26_sera_0023,A/Bangkok/P2391/2025_H3N2,plate3-A/Bangkok/P2391/2025_H3N2,92,0.0001384,0.0001384
seqneut25to26_sera_0023,A/Bangkok/P2391/2025_H3N2,plate3-A/Bangkok/P2391/2025_H3N2,212,7.347e-05,7.347e-05
seqneut25to26_sera_0023,A/Bangkok/P2391/2025_H3N2,plate3-A/Bangkok/P2391/2025_H3N2,487,0.05082,0.05082
seqneut25to26_sera_0023,A/Bangkok/P2391/2025_H3N2,plate3-A/Bangkok/P2391/2025_H3N2,1119,0.2746,0.2746
seqneut25to26_sera_0023,A/Bangkok/P2391/2025_H3N2,plate3-A/Bangkok/P2391/2025_H3N2,2575,0.6844,0.6844
seqneut25to26_sera_0023,A/Bangkok/P2391/2025_H3N2,plate3-A/Bangkok/P2391/2025_H3N2,5921,0.6252,0.6252
seqneut25to26_sera_0023,A/Bangkok/P2391/2025_H3N2,plate3-A/Bangkok/P2391/2025_H3N2,1.362e+04,0.8074,0.8074
seqneut25to26_sera_0023,A/Bangkok/P2572/2025_H3N2,plate3-A/Bangkok/P2572/2025_H3N2,40,0.001556,0.001556
seqneut25to26_sera_0023,A/Bangkok/P2572/2025_H3N2,plate3-A/Bangkok/P2572/2025_H3N2,92,0.03013,0.03013
seqneut25to26_sera_0023,A/Bangkok/P2572/2025_H3N2,plate3-A/Bangkok/P2572/2025_H3N2,212,0.1093,0.1093
seqneut25to26_sera_0023,A/Bangkok/P2572/2025_H3N2,plate3-A/Bangkok/P2572/2025_H3N2,487,0.7003,0.7003
seqneut25to26_sera_0023,A/Bangkok/P2572/2025_H3N2,plate3-A/Bangkok/P2572/2025_H3N2,1119,0.7706,0.7706
seqneut25to26_sera_0023,A/Bangkok/P2572/2025_H3N2,plate3-A/Bangkok/P2572/2025_H3N2,2575,0.9562,0.9562
seqneut25to26_sera_0023,A/Bangkok/P2572/2025_H3N2,plate3-A/Bangkok/P2572/2025_H3N2,5921,0.8684,0.8684
seqneut25to26_sera_0023,A/Bangkok/P2572/2025_H3N2,plate3-A/Bangkok/P2572/2025_H3N2,1.362e+04,0.9924,0.9924
seqneut25to26_sera_0023,A/Bangkok/P2921/2025_H3N2,plate3-A/Bangkok/P2921/2025_H3N2,40,0,0
seqneut25to26_sera_0023,A/Bangkok/P2921/2025_H3N2,plate3-A/Bangkok/P2921/2025_H3N2,92,0,0
seqneut25to26_sera_0023,A/Bangkok/P2921/2025_H3N2,plate3-A/Bangkok/P2921/2025_H3N2,212,6.821e-05,6.821e-05
seqneut25to26_sera_0023,A/Bangkok/P2921/2025_H3N2,plate3-A/Bangkok/P2921/2025_H3N2,487,6.088e-05,6.088e-05
seqneut25to26_sera_0023,A/Bangkok/P2921/2025_H3N2,plate3-A/Bangkok/P2921/2025_H3N2,1119,0.004156,0.004156
seqneut25to26_sera_0023,A/Bangkok/P2921/2025_H3N2,plate3-A/Bangkok/P2921/2025_H3N2,2575,0.1552,0.1552
seqneut25to26_sera_0023,A/Bangkok/P2921/2025_H3N2,plate3-A/Bangkok/P2921/2025_H3N2,5921,0.3738,0.3738
seqneut25to26_sera_0023,A/Bangkok/P2921/2025_H3N2,plate3-A/Bangkok/P2921/2025_H3N2,1.362e+04,0.6971,0.6971
seqneut25to26_sera_0023,A/Bangkok/P3067/2025_H1N1,plate3-A/Bangkok/P3067/2025_H1N1,40,0.07255,0.07255
seqneut25to26_sera_0023,A/Bangkok/P3067/2025_H1N1,plate3-A/Bangkok/P3067/2025_H1N1,92,0.9297,0.9297
seqneut25to26_sera_0023,A/Bangkok/P3067/2025_H1N1,plate3-A/Bangkok/P3067/2025_H1N1,212,1.228,1
seqneut25to26_sera_0023,A/Bangkok/P3067/2025_H1N1,plate3-A/Bangkok/P3067/2025_H1N1,487,1.184,1
seqneut25to26_sera_0023,A/Bangkok/P3067/2025_H1N1,plate3-A/Bangkok/P3067/2025_H1N1,1119,1.019,1
seqneut25to26_sera_0023,A/Bangkok/P3067/2025_H1N1,plate3-A/Bangkok/P3067/2025_H1N1,2575,1.109,1
seqneut25to26_sera_0023,A/Bangkok/P3067/2025_H1N1,plate3-A/Bangkok/P3067/2025_H1N1,5921,0.871,0.871
seqneut25to26_sera_0023,A/Bangkok/P3067/2025_H1N1,plate3-A/Bangkok/P3067/2025_H1N1,1.362e+04,0.9747,0.9747
seqneut25to26_sera_0023,A/Bangkok/P3263/2025_H3N2,plate3-A/Bangkok/P3263/2025_H3N2,40,0.0001961,0.0001961
seqneut25to26_sera_0023,A/Bangkok/P3263/2025_H3N2,plate3-A/Bangkok/P3263/2025_H3N2,92,0.0139,0.0139
