strain,fraction_strain,mean_ratio_to_add,x_volume_to_add,accession,strain_type,subtype,subclade,num_date,vaccine_type,strain_id
A/Bangkok/P2277/2025_H1N1,5.185655095165414e-07,17381.936372846263,434548.40932115656,PX103346,circulating_2025to2026,H1N1,,,,H1N1_6
A/Alagoas/4131/2025_H1N1,0.00013880270138059425,28.787228725067223,719.6807181266806,PX400159_A278S,circulating_2025to2026,H1N1,,,,H1N1_7
A/Victoria/1493/2025_H1N1,0.00021105616237323234,47.34546568170976,1183.6366420427441,PV617059_Q180K,circulating_2025to2026,H1N1,,,,H1N1_13
A/Lao/820-2765/2025_H1N1,0.0002694812097787627,30.45400096759,761.35002418975,PX445514_E277K,circulating_2025to2026,H1N1,,,,H1N1_14
A/Queensland/159/2025_H1N1,0.00019532634191789724,39.45744234518345,986.4360586295863,PX400159_S207R,circulating_2025to2026,H1N1,,,,H1N1_19
A/SouthAustralia/2521506017/2025_H1N1,0.00022661312765872858,26.036837821847584,650.9209455461896,PV516038_I202T,circulating_2025to2026,H1N1,,,,H1N1_31
A/BritishColumbia/PHL-2478/2025_H1N1,0.0002582456237392376,32.06262691429119,801.5656728572797,PV585284_E83K_S551G,circulating_2025to2026,H1N1,,,,H1N1_33
A/SouthAustralia/2518911830/2025_H1N1,0.0001448526323249539,30.820401762419237,770.5100440604809,PV896643_Q71L_A278S,circulating_2025to2026,H1N1,,,,H1N1_35
A/SouthAustralia/2521715152/2025_H1N1,0.00036844079451150264,25.290800575906005,632.2700143976501,PV888538_L87F,circulating_2025to2026,H1N1,,,,H1N1_37
A/NewSouthWales/2525913630/2025_H1N1,0.00033888256046905977,27.42460592781013,685.6151481952533,PV733162_K2E_I202T,circulating_2025to2026,H1N1,,,,H1N1_39
A/Catalonia/NSVH102686666/2025_H1N1,0.0003279926847692124,26.25519814580109,656.3799536450272,PV885931_M8I_N490D,circulating_2025to2026,H1N1,,,,H1N1_42
A/Chinautla/FLU-331/2025_H1N1,0.00011330656382936429,81.9210459241527,2048.0261481038174,PV500381_A158T_V169I,circulating_2025to2026,H1N1,,,,H1N1_44
A/SouthAustralia/2518902563/2025_H1N1,0.00019679561086152745,57.96270878256405,1449.0677195641013,PV728578_F12S_P288Q_V338I,circulating_2025to2026,H1N1,,,,H1N1_46
