strain_id,x_volume_to_add,strain
H1N1_1,95.04596062260288,A/Colorado/105/2025_H1N1
H1N1_3,137.84718777720522,A/Andalucia/PMC-00977/2025_H1N1
H1N1_4,214.8894721415345,A/SouthAustralia/2524712956/2025_H1N1
H1N1_5,143.65404556660556,A/Norway/9556/2025_H1N1
H1N1_8,374.77239237120506,A/Denmark/3070/2025_H1N1
H1N1_9,420.51436826143845,A/Bangkok/1803/2025_H1N1
H1N1_10,90.51137355013809,A/Aragon/2046/2025_H1N1
H1N1_11,585.4124780895364,A/Canberra/465/2025_H1N1
H1N1_12,344.76267033468065,A/Bangkok/P2229/2025_H1N1
H1N1_15,144.88507450077213,A/France/ARA-HCL025155099501/2025_H1N1
H1N1_16,58.334233984418894,A/SouthAustralia/2527612456/2025_H1N1
H1N1_17,512.4171638988014,A/Guangxi-Qingxiu/SWL11742/2025_H1N1
H1N1_18,442.680498521566,A/Darwin/1405/2025_H1N1
H1N1_23,411.73408650921397,A/Catalonia/NSVH102689455/2025_H1N1
H1N1_24,278.28467143268654,A/SouthAustralia/2519001037/2025_H1N1
H1N1_25,292.75000370838876,A/Alagoas/3579/2025_H1N1
H1N1_26,306.9754579302456,A/Zacapa/FLU-261/2025_H1N1
H1N1_27,447.99937872068733,A/Sydney/400/2025_H1N1
H1N1_28,234.16037944928445,A/Canberra/530/2025_H1N1
H1N1_29,197.09797778868568,A/California/63/2025_H1N1
H1N1_30,445.8847015497807,A/Philippines/SARI25-1425/2025_H1N1
H1N1_32,513.514676145132,A/Norway/9107/2025_H1N1
H1N1_34,352.4474402594831,A/SouthAustralia/2523012764/2025_H1N1
H1N1_36,259.12610862148273,A/SouthAustralia/2520702747/2025_H1N1
H1N1_38,230.82428486064597,A/BritishColumbia/PHL-2473/2025_H1N1
H1N1_40,411.8302351510067,A/Bangkok/P3067/2025_H1N1
H1N1_41,502.5942825121694,A/CoteDIvoire/2007/2025_H1N1
H1N1_43,261.47862811989467,A/Malaysia/IMR-SARI1798/2025_H1N1
H1N1_45,253.72711648122154,A/England/1822256/2025_H1N1
H1N1_47,263.84356498094166,A/Ghana/ARI-25-1125/2025_H1N1
H1N1_47,263.84356498094166,A/Ghana/ARI-25-1125/2025_H1N1
H1N1_48,228.6811397603379,A/Hawaii/44/2025_H1N1
H3N2_1,43.369593879761396,A/Norway/8765/2025_H3N2
H3N2_2,29.990384428492934,A/NewSouthWales/2526015582/2025_H3N2
H3N2_3,46.296430832491346,A/Bangkok/P2390/2025_H3N2
H3N2_4,35.40788172277915,A/SouthAustralia/2527003588/2025_H3N2
H3N2_5,77.60718202064551,A/Queensland/2526516675/2025_H3N2
H3N2_6,40.11197836079873,A/SouthAustralia/2527902708/2025_H3N2
H3N2_7,37.51857883090848,A/Bangkok/P2572/2025_H3N2
H3N2_8,57.84683923018048,A/DistritoFederal/250106000728/2025_H3N2
H3N2_9,44.96387666744181,A/Malaysia/IMR/SARI/2517/2025_H3N2
H3N2_10,37.777239774052546,A/Norway/8976/2025_H3N2
H3N2_11,113.33247844771938,A/NewSouthWales/2526015584/2025_H3N2
H3N2_12,50.559701031742236,A/Tasmania/2521815682/2025_H3N2
H3N2_13,31.708856877348353,A/SouthAustralia/2524408801/2025_H3N2
H3N2_14,88.24722053175998,A/Bangkok/P3263/2025_H3N2
H3N2_15,51.659591578077645,A/California/61/2025_H3N2
H3N2_16,40.19140143980073,A/Vermont/73/2025_H3N2
H3N2_17,18.358731213468072,A/Bhutan/7/2025_H3N2
H3N2_18,49.664258779467005,A/Anapolis/LEIAL6543/2025_H3N2
H3N2_19,12.993783669583076,A/Galicia/GA-CHUAC-451/2025_H3N2
H3N2_20,16.247077088522843,A/Guangdong-Maonan/11438/2025_H3N2
H3N2_21,52.16216169637509,A/Alaska/63/2025_H3N2
H3N2_22,43.701396706906756,A/Malaysia/IMR/SARI/2406/2025_H3N2
H3N2_23,13.322609954401473,A/England/174/2025_H3N2
H3N2_24,264.3065747822465,A/Arica/59150/2025_H3N2
H3N2_25,8.630480898582089,A/Bangkok/P2391/2025_H3N2
