strain,fraction_strain,mean_ratio_to_add,x_volume_to_add,accession,strain_type,subclade,num_date,vaccine_type,strain_id
A/Colorado/105/2025_H1N1,0.0022554142560572772,3.801838424904115,57.02757637356173,PX399795_K186R,circulating_2025to2026,,,,H1N1_1
A/Andalucia/PMC-00977/2025_H1N1,0.001570994211080362,5.513887511088209,82.70831266632312,PX399795,circulating_2025to2026,,,,H1N1_3
A/SouthAustralia/2524712956/2025_H1N1,0.0009302200964877558,8.59557888566138,128.9336832849207,PX103346_I113V,circulating_2025to2026,,,,H1N1_4
A/Norway/9556/2025_H1N1,0.0014582062127605144,5.746161822664223,86.19242733996334,PX399795_G172E,circulating_2025to2026,,,,H1N1_5
A/Bangkok/P2277/2025_H1N1,5.185655095165414e-07,17381.936372846263,260729.04559269396,PX103346,circulating_2025to2026,,,,H1N1_6
A/Alagoas/4131/2025_H1N1,0.00013880270138059425,28.787228725067223,431.80843087600834,PX400159_A278S,circulating_2025to2026,,,,H1N1_7
A/Denmark/3070/2025_H1N1,0.0005837319085457868,14.990895694848202,224.86343542272303,PV585284_V338I,circulating_2025to2026,,,,H1N1_8
A/Bangkok/1803/2025_H1N1,0.0005526179779747943,16.820574730457537,252.30862095686305,PX400048_G172E,circulating_2025to2026,,,,H1N1_9
A/Aragon/2046/2025_H1N1,0.002357658089016955,3.6204549420055234,54.30682413008285,PX399795_K171R,circulating_2025to2026,,,,H1N1_10
A/Canberra/465/2025_H1N1,0.0002241067276960653,23.416499123581456,351.24748685372185,PX400159_I113V,circulating_2025to2026,,,,H1N1_11
A/Bangkok/P2229/2025_H1N1,0.0006362798801767963,13.790506813387227,206.8576022008084,PV729267,circulating_2025to2026,,,,H1N1_12
A/Victoria/1493/2025_H1N1,0.00021105616237323234,47.34546568170976,710.1819852256464,PV617059_Q180K,circulating_2025to2026,,,,H1N1_13
A/Lao/820-2765/2025_H1N1,0.0002694812097787627,30.45400096759,456.81001451385004,PX445514_E277K,circulating_2025to2026,,,,H1N1_14
A/France/ARA-HCL025155099501/2025_H1N1,0.0015951939348578007,5.795402980030885,86.93104470046327,PX399795_K276Q,circulating_2025to2026,,,,H1N1_15
A/SouthAustralia/2527612456/2025_H1N1,0.004040489594983052,2.3333693593767557,35.00054039065134,PX399795_G281S,circulating_2025to2026,,,,H1N1_16
A/Guangxi-Qingxiu/SWL11742/2025_H1N1,0.00045720192422375066,20.496686555952056,307.45029833928083,PV728947,circulating_2025to2026,,,,H1N1_17
A/Darwin/1405/2025_H1N1,0.0005510622814462446,17.70721994086264,265.6082991129396,PV500341,circulating_2025to2026,,,,H1N1_18
A/Queensland/159/2025_H1N1,0.00019532634191789724,39.45744234518345,591.8616351777517,PX400159_S207R,circulating_2025to2026,,,,H1N1_19
A/Catalonia/NSVH102689455/2025_H1N1,0.0006844200449769152,16.46936346036856,247.04045190552839,PX400077,circulating_2025to2026,,,,H1N1_23
A/SouthAustralia/2519001037/2025_H1N1,0.0005769041293371523,11.131386857307461,166.97080285961192,PV584492,circulating_2025to2026,,,,H1N1_24
A/Alagoas/3579/2025_H1N1,0.00043412575905026453,11.710000148335551,175.65000222503326,PV886191,circulating_2025to2026,,,,H1N1_25
A/Zacapa/FLU-261/2025_H1N1,0.0006265135630809014,12.279018317209825,184.1852747581474,PV885403_A158T,circulating_2025to2026,,,,H1N1_26
A/Sydney/400/2025_H1N1,0.00039428264240241027,17.919975148827493,268.7996272324124,PX400048_N147K,circulating_2025to2026,,,,H1N1_27
A/Canberra/530/2025_H1N1,0.0010542436808471285,9.366415177971378,140.49622766957066,PX399828_A156S,circulating_2025to2026,,,,H1N1_28
A/California/63/2025_H1N1,0.0008814749385932009,7.883919111547427,118.2587866732114,PX468236,circulating_2025to2026,,,,H1N1_29
A/Philippines/SARI25-1425/2025_H1N1,0.0005814847913378817,17.835388061991228,267.5308209298684,PV894789_I527V,circulating_2025to2026,,,,H1N1_30
A/SouthAustralia/2521506017/2025_H1N1,0.00022661312765872858,26.036837821847584,390.55256732771375,PV516038_I202T,circulating_2025to2026,,,,H1N1_31
A/Norway/9107/2025_H1N1,0.00041623524897194385,20.540587045805278,308.10880568707915,PV515446_S88A,circulating_2025to2026,,,,H1N1_32
A/BritishColumbia/PHL-2478/2025_H1N1,0.0002582456237392376,32.06262691429119,480.9394037143678,PV585284_E83K_S551G,circulating_2025to2026,,,,H1N1_33
A/SouthAustralia/2523012764/2025_H1N1,0.0007626370093289936,14.097897610379322,211.46846415568982,PV886191_S138I_V496I,circulating_2025to2026,,,,H1N1_34
A/SouthAustralia/2518911830/2025_H1N1,0.0001448526323249539,30.820401762419237,462.30602643628856,PV896643_Q71L_A278S,circulating_2025to2026,,,,H1N1_35
A/SouthAustralia/2520702747/2025_H1N1,0.00062521714930711,10.365044344859308,155.47566517288962,PV831977_S154P,circulating_2025to2026,,,,H1N1_36
A/SouthAustralia/2521715152/2025_H1N1,0.00036844079451150264,25.290800575906005,379.36200863859005,PV888538_L87F,circulating_2025to2026,,,,H1N1_37
A/BritishColumbia/PHL-2473/2025_H1N1,0.0009970286196304703,9.232971394425839,138.49457091638757,PX468204_K450R,circulating_2025to2026,,,,H1N1_38
A/NewSouthWales/2525913630/2025_H1N1,0.00033888256046905977,27.42460592781013,411.36908891715194,PV733162_K2E_I202T,circulating_2025to2026,,,,H1N1_39
A/Bangkok/P3067/2025_H1N1,0.00047621599290602383,16.47320940604027,247.09814109060403,PV887503_D111N,circulating_2025to2026,,,,H1N1_40
A/CoteDIvoire/2007/2025_H1N1,0.00044657133127866156,20.103771300486777,301.5565695073017,PV894446_I202T,circulating_2025to2026,,,,H1N1_41
A/Catalonia/NSVH102686666/2025_H1N1,0.0003279926847692124,26.25519814580109,393.8279721870163,PV885931_M8I_N490D,circulating_2025to2026,,,,H1N1_42
A/Malaysia/IMR-SARI1798/2025_H1N1,0.0008033444018260421,10.459145124795786,156.8871768719368,PV884179_N73D_A158E,circulating_2025to2026,,,,H1N1_43
A/Chinautla/FLU-331/2025_H1N1,0.00011330656382936429,81.9210459241527,1228.8156888622905,PV500381_A158T_V169I,circulating_2025to2026,,,,H1N1_44
