comparison_id,run_a,run_b,run_a_commit,run_b_commit,section,metric,stratum,value_a,value_b,delta,n,test,statistic,p_value,higher_is_better,note
collapse_vs_noncollapse_barcode_comparison,no_collapse,collapse,f584e886,69656005,coverage,n_titers,all,27864.0,27841.0,-23.0,,,,,,
collapse_vs_noncollapse_barcode_comparison,no_collapse,collapse,f584e886,69656005,coverage,n_shared_titers,all,27801.0,27801.0,0.0,27904.0,,,,,
collapse_vs_noncollapse_barcode_comparison,no_collapse,collapse,f584e886,69656005,coverage,n_titers_unique_to_run,all,63.0,40.0,-23.0,27904.0,,,,,unique titers are not automatically bad; section 3 adjudicates them
collapse_vs_noncollapse_barcode_comparison,no_collapse,collapse,f584e886,69656005,coverage,n_missing__lost_at_barcode_or_well_qc,missing_from=collapse,,63.0,,,,,,,
collapse_vs_noncollapse_barcode_comparison,no_collapse,collapse,f584e886,69656005,coverage,n_missing__dropped_by_per_serum_qc,missing_from=no_collapse,21.0,,,,,,,,
collapse_vs_noncollapse_barcode_comparison,no_collapse,collapse,f584e886,69656005,coverage,n_missing__lost_at_barcode_or_well_qc,missing_from=no_collapse,19.0,,,,,,,,
collapse_vs_noncollapse_barcode_comparison,no_collapse,collapse,f584e886,69656005,concordance,frac_differing_gt_2fold,all,0.008689,0.008689,0.0,26470.0,,,,,"symmetric measure of disagreement, not per-run"
collapse_vs_noncollapse_barcode_comparison,no_collapse,collapse,f584e886,69656005,concordance,frac_differing_gt_4fold,all,0.000378,0.000378,0.0,26470.0,,,,,"symmetric measure of disagreement, not per-run"
collapse_vs_noncollapse_barcode_comparison,no_collapse,collapse,f584e886,69656005,concordance,frac_differing_gt_10fold,all,0.0,0.0,0.0,26470.0,,,,,"symmetric measure of disagreement, not per-run"
collapse_vs_noncollapse_barcode_comparison,no_collapse,collapse,f584e886,69656005,concordance,pearson_r_log2,all,0.988972,0.988972,0.0,26470.0,,,,,
collapse_vs_noncollapse_barcode_comparison,no_collapse,collapse,f584e886,69656005,concordance,spearman_rho,all,0.98733,0.98733,0.0,26470.0,,,,,
collapse_vs_noncollapse_barcode_comparison,no_collapse,collapse,f584e886,69656005,concordance,median_log2_fc_b_minus_a,all,0.0,0.0,0.0,26470.0,wilcoxon_signed_rank,170452461.5,0.000147012934370392,,positive means run b reports higher titers
collapse_vs_noncollapse_barcode_comparison,no_collapse,collapse,f584e886,69656005,concordance,median_abs_log2_fc,all,0.081189,0.081189,0.0,26470.0,,,,False,symmetric: how much the two runs disagree at all
collapse_vs_noncollapse_barcode_comparison,no_collapse,collapse,f584e886,69656005,adjudication,median_sd_log2_unique_vs_shared,run=collapse__UNDERPOWERED,0.475241,0.746778,0.27153700000000003,1.0,,,,False,UNDERPOWERED: only 1 unique titers have multi-plate data
collapse_vs_noncollapse_barcode_comparison,no_collapse,collapse,f584e886,69656005,variance,median_within_plate_sd_log2,run=no_collapse,0.284,,,25480.0,,,,,"NaN/absent when a run has one replicate per plate, e.g. collapsed"
collapse_vs_noncollapse_barcode_comparison,no_collapse,collapse,f584e886,69656005,variance,median_between_plate_sd_log2,run=no_collapse,0.4335,,,91.0,,,,False,
collapse_vs_noncollapse_barcode_comparison,no_collapse,collapse,f584e886,69656005,variance,median_within_plate_sd_log2,run=collapse,,,,0.0,,,,,"NaN/absent when a run has one replicate per plate, e.g. collapsed"
