serum,strain,plate_barcode,dilution_factor,frac_infectivity_raw,frac_infectivity_ceiling
seqneut25to26_sera_0030,A/Alagoas/4130/2025_H3N2,plate6-A/Alagoas/4130/2025_H3N2,40,3.104e-06,3.104e-06
seqneut25to26_sera_0030,A/Alagoas/4130/2025_H3N2,plate6-A/Alagoas/4130/2025_H3N2,92,0,0
seqneut25to26_sera_0030,A/Alagoas/4130/2025_H3N2,plate6-A/Alagoas/4130/2025_H3N2,212,3.891e-05,3.891e-05
seqneut25to26_sera_0030,A/Alagoas/4130/2025_H3N2,plate6-A/Alagoas/4130/2025_H3N2,487,0.0001486,0.0001486
seqneut25to26_sera_0030,A/Alagoas/4130/2025_H3N2,plate6-A/Alagoas/4130/2025_H3N2,1119,0.002117,0.002117
seqneut25to26_sera_0030,A/Alagoas/4130/2025_H3N2,plate6-A/Alagoas/4130/2025_H3N2,2575,0.07105,0.07105
seqneut25to26_sera_0030,A/Alagoas/4130/2025_H3N2,plate6-A/Alagoas/4130/2025_H3N2,5921,0.2761,0.2761
seqneut25to26_sera_0030,A/Alagoas/4130/2025_H3N2,plate6-A/Alagoas/4130/2025_H3N2,1.362e+04,0.5466,0.5466
seqneut25to26_sera_0030,A/Anapolis/LEIAL6543/2025_H3N2,plate6-A/Anapolis/LEIAL6543/2025_H3N2,40,0,0
seqneut25to26_sera_0030,A/Anapolis/LEIAL6543/2025_H3N2,plate6-A/Anapolis/LEIAL6543/2025_H3N2,92,0,0
seqneut25to26_sera_0030,A/Anapolis/LEIAL6543/2025_H3N2,plate6-A/Anapolis/LEIAL6543/2025_H3N2,212,0,0
seqneut25to26_sera_0030,A/Anapolis/LEIAL6543/2025_H3N2,plate6-A/Anapolis/LEIAL6543/2025_H3N2,487,0.005269,0.005269
seqneut25to26_sera_0030,A/Anapolis/LEIAL6543/2025_H3N2,plate6-A/Anapolis/LEIAL6543/2025_H3N2,1119,0.01533,0.01533
seqneut25to26_sera_0030,A/Anapolis/LEIAL6543/2025_H3N2,plate6-A/Anapolis/LEIAL6543/2025_H3N2,2575,0.1775,0.1775
seqneut25to26_sera_0030,A/Anapolis/LEIAL6543/2025_H3N2,plate6-A/Anapolis/LEIAL6543/2025_H3N2,5921,0.5152,0.5152
seqneut25to26_sera_0030,A/Anapolis/LEIAL6543/2025_H3N2,plate6-A/Anapolis/LEIAL6543/2025_H3N2,1.362e+04,0.5422,0.5422
seqneut25to26_sera_0030,A/Andalucia/PMC-00977/2025_H1N1,plate6-A/Andalucia/PMC-00977/2025_H1N1,40,5.156e-05,5.156e-05
seqneut25to26_sera_0030,A/Andalucia/PMC-00977/2025_H1N1,plate6-A/Andalucia/PMC-00977/2025_H1N1,92,0.001868,0.001868
seqneut25to26_sera_0030,A/Andalucia/PMC-00977/2025_H1N1,plate6-A/Andalucia/PMC-00977/2025_H1N1,212,4.616e-05,4.616e-05
seqneut25to26_sera_0030,A/Andalucia/PMC-00977/2025_H1N1,plate6-A/Andalucia/PMC-00977/2025_H1N1,487,0.06491,0.06491
seqneut25to26_sera_0030,A/Andalucia/PMC-00977/2025_H1N1,plate6-A/Andalucia/PMC-00977/2025_H1N1,1119,0.34,0.34
seqneut25to26_sera_0030,A/Andalucia/PMC-00977/2025_H1N1,plate6-A/Andalucia/PMC-00977/2025_H1N1,2575,0.7164,0.7164
seqneut25to26_sera_0030,A/Andalucia/PMC-00977/2025_H1N1,plate6-A/Andalucia/PMC-00977/2025_H1N1,5921,0.8317,0.8317
seqneut25to26_sera_0030,A/Andalucia/PMC-00977/2025_H1N1,plate6-A/Andalucia/PMC-00977/2025_H1N1,1.362e+04,0.7742,0.7742
seqneut25to26_sera_0030,A/Aragon/2046/2025_H1N1,plate6-A/Aragon/2046/2025_H1N1,40,0,0
seqneut25to26_sera_0030,A/Aragon/2046/2025_H1N1,plate6-A/Aragon/2046/2025_H1N1,92,0.0001303,0.0001303
seqneut25to26_sera_0030,A/Aragon/2046/2025_H1N1,plate6-A/Aragon/2046/2025_H1N1,212,0.0006386,0.0006386
seqneut25to26_sera_0030,A/Aragon/2046/2025_H1N1,plate6-A/Aragon/2046/2025_H1N1,487,0.04476,0.04476
seqneut25to26_sera_0030,A/Aragon/2046/2025_H1N1,plate6-A/Aragon/2046/2025_H1N1,1119,0.3219,0.3219
seqneut25to26_sera_0030,A/Aragon/2046/2025_H1N1,plate6-A/Aragon/2046/2025_H1N1,2575,0.6679,0.6679
seqneut25to26_sera_0030,A/Aragon/2046/2025_H1N1,plate6-A/Aragon/2046/2025_H1N1,5921,0.627,0.627
seqneut25to26_sera_0030,A/Aragon/2046/2025_H1N1,plate6-A/Aragon/2046/2025_H1N1,1.362e+04,0.7958,0.7958
seqneut25to26_sera_0030,A/Arica/59150/2025_H3N2,plate6-A/Arica/59150/2025_H3N2,40,6.166e-05,6.166e-05
seqneut25to26_sera_0030,A/Arica/59150/2025_H3N2,plate6-A/Arica/59150/2025_H3N2,92,0.0001272,0.0001272
seqneut25to26_sera_0030,A/Arica/59150/2025_H3N2,plate6-A/Arica/59150/2025_H3N2,212,0,0
seqneut25to26_sera_0030,A/Arica/59150/2025_H3N2,plate6-A/Arica/59150/2025_H3N2,487,0.0002578,0.0002578
seqneut25to26_sera_0030,A/Arica/59150/2025_H3N2,plate6-A/Arica/59150/2025_H3N2,1119,0.04122,0.04122
seqneut25to26_sera_0030,A/Arica/59150/2025_H3N2,plate6-A/Arica/59150/2025_H3N2,2575,0.2293,0.2293
seqneut25to26_sera_0030,A/Arica/59150/2025_H3N2,plate6-A/Arica/59150/2025_H3N2,5921,0.5045,0.5045
seqneut25to26_sera_0030,A/Arica/59150/2025_H3N2,plate6-A/Arica/59150/2025_H3N2,1.362e+04,0.595,0.595
seqneut25to26_sera_0030,A/Bahia/3102/2025_H3N2,plate6-A/Bahia/3102/2025_H3N2,40,2.059e-06,2.059e-06
seqneut25to26_sera_0030,A/Bahia/3102/2025_H3N2,plate6-A/Bahia/3102/2025_H3N2,92,0,0
seqneut25to26_sera_0030,A/Bahia/3102/2025_H3N2,plate6-A/Bahia/3102/2025_H3N2,212,0.004326,0.004326
seqneut25to26_sera_0030,A/Bahia/3102/2025_H3N2,plate6-A/Bahia/3102/2025_H3N2,487,0,0
seqneut25to26_sera_0030,A/Bahia/3102/2025_H3N2,plate6-A/Bahia/3102/2025_H3N2,1119,0.02706,0.02706
seqneut25to26_sera_0030,A/Bahia/3102/2025_H3N2,plate6-A/Bahia/3102/2025_H3N2,2575,0.1951,0.1951
