group,serum,plates
human,seqneut25to26_sera_0001,plate1
human,seqneut25to26_sera_0002,plate1
human,seqneut25to26_sera_0003,plate1
human,seqneut25to26_sera_0004,plate1
human,seqneut25to26_sera_0005,plate1
human,seqneut25to26_sera_0006,plate1
human,seqneut25to26_sera_0007,plate1
human,seqneut25to26_sera_0008,plate1
human,seqneut25to26_sera_0009,plate1
human,seqneut25to26_sera_0010,plate1
human,seqneut25to26_sera_0011,plate1
human,seqneut25to26_sera_0012,plate2
human,seqneut25to26_sera_0013,plate2
human,seqneut25to26_sera_0014,plate2
human,seqneut25to26_sera_0015,plate2
human,seqneut25to26_sera_0016,plate2
human,seqneut25to26_sera_0017,plate2
human,seqneut25to26_sera_0018,plate2
human,seqneut25to26_sera_0019,plate2
human,seqneut25to26_sera_0020,plate2
human,seqneut25to26_sera_0021,plate2
human,seqneut25to26_sera_0022,plate2
human,seqneut25to26_sera_0023,plate3
human,seqneut25to26_sera_0024,plate3
human,seqneut25to26_sera_0025,plate3
human,seqneut25to26_sera_0026,plate3
human,seqneut25to26_sera_0027,plate3
human,seqneut25to26_sera_0028,plate4
human,seqneut25to26_sera_0029,plate5
human,seqneut25to26_sera_0030,plate6
human,seqneut25to26_sera_0031,plate7
human,seqneut25to26_sera_0032,plate8
human,seqneut25to26_sera_0033,plate9
human,seqneut25to26_sera_0034,plate10
human,seqneut25to26_sera_0035,plate11
human,seqneut25to26_sera_0036,plate12
human,seqneut25to26_sera_0037,plate13
human,seqneut25to26_sera_0038,plate14
human,seqneut25to26_sera_0039,plate15
human,seqneut25to26_sera_0040,plate16-2
human,seqneut25to26_sera_1001_d0,plate4
human,seqneut25to26_sera_1001_d28,plate4
human,seqneut25to26_sera_1002_d0,plate3
human,seqneut25to26_sera_1002_d28,plate3
human,seqneut25to26_sera_1003_d0,plate10
human,seqneut25to26_sera_1003_d28,plate10
human,seqneut25to26_sera_1004_d0,plate9
human,seqneut25to26_sera_1004_d28,plate9
human,seqneut25to26_sera_1005_d0,plate8
human,seqneut25to26_sera_1005_d28,plate8
human,seqneut25to26_sera_1006_d0,plate11
human,seqneut25to26_sera_1006_d28,plate11
human,seqneut25to26_sera_1007_d0,plate8
human,seqneut25to26_sera_1007_d28,plate8
human,seqneut25to26_sera_1008_d0,plate7
human,seqneut25to26_sera_1008_d28,plate7
human,seqneut25to26_sera_1009_d0,plate8
human,seqneut25to26_sera_1009_d28,plate8
human,seqneut25to26_sera_1010_d0,plate14
human,seqneut25to26_sera_1010_d28,plate14
human,seqneut25to26_sera_1011_d0,plate4
human,seqneut25to26_sera_1011_d28,plate4
human,seqneut25to26_sera_1012_d0,plate12
human,seqneut25to26_sera_1012_d28,plate12
human,seqneut25to26_sera_1013_d0,plate8
human,seqneut25to26_sera_1013_d28,plate8
human,seqneut25to26_sera_1014_d0,plate14
human,seqneut25to26_sera_1014_d28,plate14
human,seqneut25to26_sera_1015_d0,plate5
human,seqneut25to26_sera_1015_d28,plate5
human,seqneut25to26_sera_1016_d0,plate3
human,seqneut25to26_sera_1016_d28,plate3
human,seqneut25to26_sera_1017_d0,plate8
human,seqneut25to26_sera_1017_d28,plate8
human,seqneut25to26_sera_1018_d0,plate12
human,seqneut25to26_sera_1018_d28,plate12
human,seqneut25to26_sera_1019_d0,plate15
human,seqneut25to26_sera_1019_d28,plate15
human,seqneut25to26_sera_1020_d0,plate4
human,seqneut25to26_sera_1020_d28,plate4
human,seqneut25to26_sera_1021_d0,plate3
human,seqneut25to26_sera_1021_d28,plate3
human,seqneut25to26_sera_1022_d0,plate14
human,seqneut25to26_sera_1022_d28,plate14
human,seqneut25to26_sera_1023_d0,plate7
human,seqneut25to26_sera_1023_d28,plate7
human,seqneut25to26_sera_1024_d0,plate10
human,seqneut25to26_sera_1024_d28,plate10
human,seqneut25to26_sera_1025_d0,plate5
human,seqneut25to26_sera_1025_d28,plate5
human,seqneut25to26_sera_1026_d0,plate11
human,seqneut25to26_sera_1026_d28,plate11
human,seqneut25to26_sera_1027_d0,plate13
human,seqneut25to26_sera_1027_d28,plate13
human,seqneut25to26_sera_1028_d0,plate6
human,seqneut25to26_sera_1028_d28,plate6
human,seqneut25to26_sera_1029_d0,plate14
human,seqneut25to26_sera_1029_d28,plate14
human,seqneut25to26_sera_1030_d0,plate6
human,seqneut25to26_sera_1030_d28,plate6
human,seqneut25to26_sera_1031_d0,plate6
human,seqneut25to26_sera_1031_d28,plate6
human,seqneut25to26_sera_1032_d0,plate12
human,seqneut25to26_sera_1032_d28,plate12
human,seqneut25to26_sera_1033_d0,plate9
human,seqneut25to26_sera_1033_d28,plate9
human,seqneut25to26_sera_1034_d0,plate12
human,seqneut25to26_sera_1034_d28,plate12
human,seqneut25to26_sera_1035_d0,plate6
human,seqneut25to26_sera_1035_d28,plate6
human,seqneut25to26_sera_1036_d0,plate7
human,seqneut25to26_sera_1036_d28,plate7
human,seqneut25to26_sera_1037_d0,plate11
human,seqneut25to26_sera_1037_d28,plate11
human,seqneut25to26_sera_1038_d0,plate12
human,seqneut25to26_sera_1038_d28,plate12
human,seqneut25to26_sera_1039_d0,plate5
human,seqneut25to26_sera_1039_d28,plate5
human,seqneut25to26_sera_1040_d0,plate7
human,seqneut25to26_sera_1040_d28,plate7
human,seqneut25to26_sera_1041_d0,plate7
human,seqneut25to26_sera_1041_d28,plate7
human,seqneut25to26_sera_1042_d0,plate14
human,seqneut25to26_sera_1042_d28,plate14
human,seqneut25to26_sera_1043_d0,plate4
human,seqneut25to26_sera_1043_d28,plate4
human,seqneut25to26_sera_1044_d0,plate9
human,seqneut25to26_sera_1044_d28,plate9
human,seqneut25to26_sera_1045_d0,plate10
human,seqneut25to26_sera_1045_d28,plate10
human,seqneut25to26_sera_1046_d0,plate11
human,seqneut25to26_sera_1046_d28,plate11
human,seqneut25to26_sera_1047_d0,plate5
human,seqneut25to26_sera_1047_d28,plate5
human,seqneut25to26_sera_1048_d0,plate11
human,seqneut25to26_sera_1048_d28,plate11
human,seqneut25to26_sera_1049_d0,plate13
human,seqneut25to26_sera_1049_d28,plate13
human,seqneut25to26_sera_1050_d0,plate13
human,seqneut25to26_sera_1050_d28,plate13
human,seqneut25to26_sera_1051_d0,plate9
human,seqneut25to26_sera_1051_d28,plate9
human,seqneut25to26_sera_1052_d0,plate13
human,seqneut25to26_sera_1052_d28,plate13
human,seqneut25to26_sera_1053_d0,plate13
human,seqneut25to26_sera_1053_d28,plate13
human,seqneut25to26_sera_1054_d0,plate9
human,seqneut25to26_sera_1054_d28,plate9
human,seqneut25to26_sera_1055_d0,plate10
human,seqneut25to26_sera_1055_d28,plate10
human,seqneut25to26_sera_1056_d0,plate4
human,seqneut25to26_sera_1056_d28,plate4
human,seqneut25to26_sera_1057_d0,plate6
human,seqneut25to26_sera_1057_d28,plate6
human,seqneut25to26_sera_1058_d0,plate5
human,seqneut25to26_sera_1058_d28,plate5
human,seqneut25to26_sera_1059_d0,plate10
human,seqneut25to26_sera_1059_d28,plate10
human,seqneut25to26_sera_3001,plate17
human,seqneut25to26_sera_3002,plate17
human,seqneut25to26_sera_3003,plate17
human,seqneut25to26_sera_3004,plate17
human,seqneut25to26_sera_3005,plate17
human,seqneut25to26_sera_3006,plate17
human,seqneut25to26_sera_3007,plate17
human,seqneut25to26_sera_3008,plate17
human,seqneut25to26_sera_3009,plate17
human,seqneut25to26_sera_3010,plate17
human,seqneut25to26_sera_3011,plate17
human,seqneut25to26_sera_3012,plate18
human,seqneut25to26_sera_3013,plate18
human,seqneut25to26_sera_3014,plate18
human,seqneut25to26_sera_3015,plate18
human,seqneut25to26_sera_3016,plate18
human,seqneut25to26_sera_3017,plate18
human,seqneut25to26_sera_3018,plate18
human,seqneut25to26_sera_3019,plate18
human,seqneut25to26_sera_3020,plate18
human,seqneut25to26_sera_3021,plate18
human,seqneut25to26_sera_3022,plate18
human,seqneut25to26_sera_3023,plate19
human,seqneut25to26_sera_3024,plate19
human,seqneut25to26_sera_3025,plate19
human,seqneut25to26_sera_3026,plate19
human,seqneut25to26_sera_3027,plate19
human,seqneut25to26_sera_3028,plate19
human,seqneut25to26_sera_3029,plate19
human,seqneut25to26_sera_3030,plate19
human,seqneut25to26_sera_3031,plate19
human,seqneut25to26_sera_3032,plate19
human,seqneut25to26_sera_3033,plate19
human,seqneut25to26_sera_3034,plate20
human,seqneut25to26_sera_3035,plate20
human,seqneut25to26_sera_3036,plate20
human,seqneut25to26_sera_3037,plate20
human,seqneut25to26_sera_3038,plate20
human,seqneut25to26_sera_3039,plate20
human,seqneut25to26_sera_3040,plate20
human,seqneut25to26_sera_3041,plate20
human,seqneut25to26_sera_3042,plate20
human,seqneut25to26_sera_3043,plate20
human,seqneut25to26_sera_3044,plate20
human,seqneut25to26_sera_3045,plate21
human,seqneut25to26_sera_3046,plate21
human,seqneut25to26_sera_3047,plate21
human,seqneut25to26_sera_3048,plate21
human,seqneut25to26_sera_4001,plate15
human,seqneut25to26_sera_4002,plate15
human,seqneut25to26_sera_4003,plate15
