serum,strain,plate_barcode,dilution_factor,frac_infectivity_raw,frac_infectivity_ceiling
seqneut25to26_sera_0032,A/Alagoas/4130/2025_H3N2,plate8-A/Alagoas/4130/2025_H3N2,40,0.1004,0.1004
seqneut25to26_sera_0032,A/Alagoas/4130/2025_H3N2,plate8-A/Alagoas/4130/2025_H3N2,92,0.2795,0.2795
seqneut25to26_sera_0032,A/Alagoas/4130/2025_H3N2,plate8-A/Alagoas/4130/2025_H3N2,212,0.4947,0.4947
seqneut25to26_sera_0032,A/Alagoas/4130/2025_H3N2,plate8-A/Alagoas/4130/2025_H3N2,487,0.4986,0.4986
seqneut25to26_sera_0032,A/Alagoas/4130/2025_H3N2,plate8-A/Alagoas/4130/2025_H3N2,1119,0.8896,0.8896
seqneut25to26_sera_0032,A/Alagoas/4130/2025_H3N2,plate8-A/Alagoas/4130/2025_H3N2,2575,0.8627,0.8627
seqneut25to26_sera_0032,A/Alagoas/4130/2025_H3N2,plate8-A/Alagoas/4130/2025_H3N2,5921,0.8049,0.8049
seqneut25to26_sera_0032,A/Alagoas/4130/2025_H3N2,plate8-A/Alagoas/4130/2025_H3N2,1.362e+04,0.8759,0.8759
seqneut25to26_sera_0032,A/Anapolis/LEIAL6543/2025_H3N2,plate8-A/Anapolis/LEIAL6543/2025_H3N2,40,0.1404,0.1404
seqneut25to26_sera_0032,A/Anapolis/LEIAL6543/2025_H3N2,plate8-A/Anapolis/LEIAL6543/2025_H3N2,92,0.3782,0.3782
seqneut25to26_sera_0032,A/Anapolis/LEIAL6543/2025_H3N2,plate8-A/Anapolis/LEIAL6543/2025_H3N2,212,0.5823,0.5823
seqneut25to26_sera_0032,A/Anapolis/LEIAL6543/2025_H3N2,plate8-A/Anapolis/LEIAL6543/2025_H3N2,487,0.6521,0.6521
seqneut25to26_sera_0032,A/Anapolis/LEIAL6543/2025_H3N2,plate8-A/Anapolis/LEIAL6543/2025_H3N2,1119,0.893,0.893
seqneut25to26_sera_0032,A/Anapolis/LEIAL6543/2025_H3N2,plate8-A/Anapolis/LEIAL6543/2025_H3N2,2575,0.6262,0.6262
seqneut25to26_sera_0032,A/Anapolis/LEIAL6543/2025_H3N2,plate8-A/Anapolis/LEIAL6543/2025_H3N2,5921,0.8138,0.8138
seqneut25to26_sera_0032,A/Anapolis/LEIAL6543/2025_H3N2,plate8-A/Anapolis/LEIAL6543/2025_H3N2,1.362e+04,1.122,1
seqneut25to26_sera_0032,A/Andalucia/PMC-00977/2025_H1N1,plate8-A/Andalucia/PMC-00977/2025_H1N1,40,0.2066,0.2066
seqneut25to26_sera_0032,A/Andalucia/PMC-00977/2025_H1N1,plate8-A/Andalucia/PMC-00977/2025_H1N1,92,0.6063,0.6063
seqneut25to26_sera_0032,A/Andalucia/PMC-00977/2025_H1N1,plate8-A/Andalucia/PMC-00977/2025_H1N1,212,0.9181,0.9181
seqneut25to26_sera_0032,A/Andalucia/PMC-00977/2025_H1N1,plate8-A/Andalucia/PMC-00977/2025_H1N1,487,0.9473,0.9473
seqneut25to26_sera_0032,A/Andalucia/PMC-00977/2025_H1N1,plate8-A/Andalucia/PMC-00977/2025_H1N1,1119,1.063,1
seqneut25to26_sera_0032,A/Andalucia/PMC-00977/2025_H1N1,plate8-A/Andalucia/PMC-00977/2025_H1N1,2575,1.159,1
seqneut25to26_sera_0032,A/Andalucia/PMC-00977/2025_H1N1,plate8-A/Andalucia/PMC-00977/2025_H1N1,5921,0.6869,0.6869
seqneut25to26_sera_0032,A/Andalucia/PMC-00977/2025_H1N1,plate8-A/Andalucia/PMC-00977/2025_H1N1,1.362e+04,1,1
seqneut25to26_sera_0032,A/Aragon/2046/2025_H1N1,plate8-A/Aragon/2046/2025_H1N1,40,0.1365,0.1365
seqneut25to26_sera_0032,A/Aragon/2046/2025_H1N1,plate8-A/Aragon/2046/2025_H1N1,92,0.5583,0.5583
seqneut25to26_sera_0032,A/Aragon/2046/2025_H1N1,plate8-A/Aragon/2046/2025_H1N1,212,0.7331,0.7331
seqneut25to26_sera_0032,A/Aragon/2046/2025_H1N1,plate8-A/Aragon/2046/2025_H1N1,487,0.7867,0.7867
seqneut25to26_sera_0032,A/Aragon/2046/2025_H1N1,plate8-A/Aragon/2046/2025_H1N1,1119,1.172,1
seqneut25to26_sera_0032,A/Aragon/2046/2025_H1N1,plate8-A/Aragon/2046/2025_H1N1,2575,0.9732,0.9732
seqneut25to26_sera_0032,A/Aragon/2046/2025_H1N1,plate8-A/Aragon/2046/2025_H1N1,5921,0.8324,0.8324
seqneut25to26_sera_0032,A/Aragon/2046/2025_H1N1,plate8-A/Aragon/2046/2025_H1N1,1.362e+04,1.116,1
seqneut25to26_sera_0032,A/Arica/59150/2025_H3N2,plate8-A/Arica/59150/2025_H3N2,40,0.1264,0.1264
seqneut25to26_sera_0032,A/Arica/59150/2025_H3N2,plate8-A/Arica/59150/2025_H3N2,92,0.3051,0.3051
seqneut25to26_sera_0032,A/Arica/59150/2025_H3N2,plate8-A/Arica/59150/2025_H3N2,212,0.5335,0.5335
seqneut25to26_sera_0032,A/Arica/59150/2025_H3N2,plate8-A/Arica/59150/2025_H3N2,487,0.6687,0.6687
seqneut25to26_sera_0032,A/Arica/59150/2025_H3N2,plate8-A/Arica/59150/2025_H3N2,1119,1.081,1
seqneut25to26_sera_0032,A/Arica/59150/2025_H3N2,plate8-A/Arica/59150/2025_H3N2,2575,0.9271,0.9271
seqneut25to26_sera_0032,A/Arica/59150/2025_H3N2,plate8-A/Arica/59150/2025_H3N2,5921,0.8384,0.8384
seqneut25to26_sera_0032,A/Arica/59150/2025_H3N2,plate8-A/Arica/59150/2025_H3N2,1.362e+04,0.97,0.97
seqneut25to26_sera_0032,A/Bahia/3102/2025_H3N2,plate8-A/Bahia/3102/2025_H3N2,40,0.08544,0.08544
seqneut25to26_sera_0032,A/Bahia/3102/2025_H3N2,plate8-A/Bahia/3102/2025_H3N2,92,0.3347,0.3347
seqneut25to26_sera_0032,A/Bahia/3102/2025_H3N2,plate8-A/Bahia/3102/2025_H3N2,212,0.6374,0.6374
seqneut25to26_sera_0032,A/Bahia/3102/2025_H3N2,plate8-A/Bahia/3102/2025_H3N2,487,0.5261,0.5261
seqneut25to26_sera_0032,A/Bahia/3102/2025_H3N2,plate8-A/Bahia/3102/2025_H3N2,1119,0.8986,0.8986
seqneut25to26_sera_0032,A/Bahia/3102/2025_H3N2,plate8-A/Bahia/3102/2025_H3N2,2575,0.8469,0.8469
seqneut25to26_sera_0032,A/Bahia/3102/2025_H3N2,plate8-A/Bahia/3102/2025_H3N2,5921,0.7132,0.7132
seqneut25to26_sera_0032,A/Bahia/3102/2025_H3N2,plate8-A/Bahia/3102/2025_H3N2,1.362e+04,0.9428,0.9428
seqneut25to26_sera_0032,A/Bangkok/1803/2025_H1N1,plate8-A/Bangkok/1803/2025_H1N1,40,0.08192,0.08192
seqneut25to26_sera_0032,A/Bangkok/1803/2025_H1N1,plate8-A/Bangkok/1803/2025_H1N1,92,0.3295,0.3295
seqneut25to26_sera_0032,A/Bangkok/1803/2025_H1N1,plate8-A/Bangkok/1803/2025_H1N1,212,0.9903,0.9903
seqneut25to26_sera_0032,A/Bangkok/1803/2025_H1N1,plate8-A/Bangkok/1803/2025_H1N1,487,0.9457,0.9457
seqneut25to26_sera_0032,A/Bangkok/1803/2025_H1N1,plate8-A/Bangkok/1803/2025_H1N1,1119,1.079,1
seqneut25to26_sera_0032,A/Bangkok/1803/2025_H1N1,plate8-A/Bangkok/1803/2025_H1N1,2575,1.146,1
seqneut25to26_sera_0032,A/Bangkok/1803/2025_H1N1,plate8-A/Bangkok/1803/2025_H1N1,5921,1.051,1
seqneut25to26_sera_0032,A/Bangkok/1803/2025_H1N1,plate8-A/Bangkok/1803/2025_H1N1,1.362e+04,1.061,1
seqneut25to26_sera_0032,A/Bangkok/P2229/2025_H1N1,plate8-A/Bangkok/P2229/2025_H1N1,40,0.06816,0.06816
seqneut25to26_sera_0032,A/Bangkok/P2229/2025_H1N1,plate8-A/Bangkok/P2229/2025_H1N1,92,0.4513,0.4513
seqneut25to26_sera_0032,A/Bangkok/P2229/2025_H1N1,plate8-A/Bangkok/P2229/2025_H1N1,212,0.7274,0.7274
seqneut25to26_sera_0032,A/Bangkok/P2229/2025_H1N1,plate8-A/Bangkok/P2229/2025_H1N1,487,0.6868,0.6868
seqneut25to26_sera_0032,A/Bangkok/P2229/2025_H1N1,plate8-A/Bangkok/P2229/2025_H1N1,1119,1.132,1
seqneut25to26_sera_0032,A/Bangkok/P2229/2025_H1N1,plate8-A/Bangkok/P2229/2025_H1N1,2575,0.838,0.838
seqneut25to26_sera_0032,A/Bangkok/P2229/2025_H1N1,plate8-A/Bangkok/P2229/2025_H1N1,5921,0.8453,0.8453
seqneut25to26_sera_0032,A/Bangkok/P2229/2025_H1N1,plate8-A/Bangkok/P2229/2025_H1N1,1.362e+04,1.06,1
seqneut25to26_sera_0032,A/Bangkok/P2323/2025_H3N2,plate8-A/Bangkok/P2323/2025_H3N2,40,0.2116,0.2116
seqneut25to26_sera_0032,A/Bangkok/P2323/2025_H3N2,plate8-A/Bangkok/P2323/2025_H3N2,92,0.4634,0.4634
seqneut25to26_sera_0032,A/Bangkok/P2323/2025_H3N2,plate8-A/Bangkok/P2323/2025_H3N2,212,0.5571,0.5571
seqneut25to26_sera_0032,A/Bangkok/P2323/2025_H3N2,plate8-A/Bangkok/P2323/2025_H3N2,487,0.6724,0.6724
seqneut25to26_sera_0032,A/Bangkok/P2323/2025_H3N2,plate8-A/Bangkok/P2323/2025_H3N2,1119,0.924,0.924
seqneut25to26_sera_0032,A/Bangkok/P2323/2025_H3N2,plate8-A/Bangkok/P2323/2025_H3N2,2575,0.8122,0.8122
seqneut25to26_sera_0032,A/Bangkok/P2323/2025_H3N2,plate8-A/Bangkok/P2323/2025_H3N2,5921,0.7232,0.7232
seqneut25to26_sera_0032,A/Bangkok/P2323/2025_H3N2,plate8-A/Bangkok/P2323/2025_H3N2,1.362e+04,0.9882,0.9882
seqneut25to26_sera_0032,A/Bangkok/P2390/2025_H3N2,plate8-A/Bangkok/P2390/2025_H3N2,40,0.2996,0.2996
seqneut25to26_sera_0032,A/Bangkok/P2390/2025_H3N2,plate8-A/Bangkok/P2390/2025_H3N2,92,0.562,0.562
seqneut25to26_sera_0032,A/Bangkok/P2390/2025_H3N2,plate8-A/Bangkok/P2390/2025_H3N2,212,0.7423,0.7423
seqneut25to26_sera_0032,A/Bangkok/P2390/2025_H3N2,plate8-A/Bangkok/P2390/2025_H3N2,487,0.6832,0.6832
seqneut25to26_sera_0032,A/Bangkok/P2390/2025_H3N2,plate8-A/Bangkok/P2390/2025_H3N2,1119,0.8819,0.8819
seqneut25to26_sera_0032,A/Bangkok/P2390/2025_H3N2,plate8-A/Bangkok/P2390/2025_H3N2,2575,0.793,0.793
seqneut25to26_sera_0032,A/Bangkok/P2390/2025_H3N2,plate8-A/Bangkok/P2390/2025_H3N2,5921,0.7054,0.7054
seqneut25to26_sera_0032,A/Bangkok/P2390/2025_H3N2,plate8-A/Bangkok/P2390/2025_H3N2,1.362e+04,0.9621,0.9621
seqneut25to26_sera_0032,A/Bangkok/P2391/2025_H3N2,plate8-A/Bangkok/P2391/2025_H3N2,40,0.1704,0.1704
seqneut25to26_sera_0032,A/Bangkok/P2391/2025_H3N2,plate8-A/Bangkok/P2391/2025_H3N2,92,0.3912,0.3912
seqneut25to26_sera_0032,A/Bangkok/P2391/2025_H3N2,plate8-A/Bangkok/P2391/2025_H3N2,212,0.766,0.766
seqneut25to26_sera_0032,A/Bangkok/P2391/2025_H3N2,plate8-A/Bangkok/P2391/2025_H3N2,487,0.652,0.652
seqneut25to26_sera_0032,A/Bangkok/P2391/2025_H3N2,plate8-A/Bangkok/P2391/2025_H3N2,1119,0.8414,0.8414
seqneut25to26_sera_0032,A/Bangkok/P2391/2025_H3N2,plate8-A/Bangkok/P2391/2025_H3N2,2575,0.7077,0.7077
seqneut25to26_sera_0032,A/Bangkok/P2391/2025_H3N2,plate8-A/Bangkok/P2391/2025_H3N2,5921,0.663,0.663
seqneut25to26_sera_0032,A/Bangkok/P2391/2025_H3N2,plate8-A/Bangkok/P2391/2025_H3N2,1.362e+04,0.7862,0.7862
