strain,plasmid_log_ID
flu-seqneut-25to26_H3N2_1_bc1,plate5-A1_A_Norway_8765_2025_bc1.gb
flu-seqneut-25to26_H3N2_1_bc2,plate5-B1_A_Norway_8765_2025_bc2.gb
flu-seqneut-25to26_H3N2_2_bc1,plate5-C1_A_NewSouthWales_2526015582_2025_bc1.gb
flu-seqneut-25to26_H3N2_2_bc2,plate5-D1_A_NewSouthWales_2526015582_2025_bc2.gb
flu-seqneut-25to26_H3N2_3_bc1,plate5-E1_A_Bangkok_P2390_2025_bc1.gb
flu-seqneut-25to26_H3N2_3_bc2,plate5-F1_A_Bangkok_P2390_2025_bc2.gb
flu-seqneut-25to26_H3N2_4_bc1,plate5-G1_A_SouthAustralia_2527003588_2025_bc1.gb
flu-seqneut-25to26_H3N2_4_bc2,plate5-H1_A_SouthAustralia_2527003588_2025_bc2.gb
flu-seqneut-25to26_H3N2_5_bc1,plate5-A2_A_Queensland_2526516675_2025_bc1.gb
flu-seqneut-25to26_H3N2_5_bc2,plate5-B2_A_Queensland_2526516675_2025_bc2.gb
flu-seqneut-25to26_H3N2_6_bc1,plate5-C2_A_SouthAustralia_2527902708_2025_bc1.gb
flu-seqneut-25to26_H3N2_6_bc2,plate5-D2_A_SouthAustralia_2527902708_2025_bc2.gb
flu-seqneut-25to26_H3N2_7_bc1,plate5-E2_A_Bangkok_P2572_2025_bc1.gb
flu-seqneut-25to26_H3N2_7_bc2,plate5-F2_A_Bangkok_P2572_2025_bc2.gb
flu-seqneut-25to26_H3N2_8_bc1,plate5-G2_A_DistritoFederal_250106000728_2025_bc1.gb
flu-seqneut-25to26_H3N2_8_bc2,plate5-H2_A_DistritoFederal_250106000728_2025_bc2.gb
flu-seqneut-25to26_H3N2_9_bc1,plate5-A3_A_Malaysia_IMR_SARI_2517_2025_bc1.gb
flu-seqneut-25to26_H3N2_9_bc2,plate5-B3_A_Malaysia_IMR_SARI_2517_2025_bc2.gb
flu-seqneut-25to26_H3N2_10_bc1,plate5-C3_A_Norway_8976_2025_bc1.gb
flu-seqneut-25to26_H3N2_10_bc2,plate5-D3_A_Norway_8976_2025_bc2.gb
flu-seqneut-25to26_H3N2_11_bc1,plate5-E3_A_NewSouthWales_2526015584_2025_bc1.gb
flu-seqneut-25to26_H3N2_11_bc2,plate5-F3_A_NewSouthWales_2526015584_2025_bc2.gb
flu-seqneut-25to26_H3N2_12_bc1,plate5-G3_A_Tasmania_2521815682_2025_bc1.gb
flu-seqneut-25to26_H3N2_12_bc2,plate5-H3_A_Tasmania_2521815682_2025_bc2.gb
flu-seqneut-25to26_H3N2_13_bc1,plate5-A4_A_SouthAustralia_2524408801_2025_bc1.gb
flu-seqneut-25to26_H3N2_13_bc2,plate5-B4_A_SouthAustralia_2524408801_2025_bc2.gb
flu-seqneut-25to26_H3N2_14_bc1,plate5-C4_A_Bangkok_P3263_2025_bc1.gb
flu-seqneut-25to26_H3N2_14_bc2,plate5-D4_A_Bangkok_P3263_2025_bc2.gb
flu-seqneut-25to26_H3N2_15_bc1,plate5-E4_A_California_61_2025_bc1.gb
flu-seqneut-25to26_H3N2_15_bc2,plate5-F4_A_California_61_2025_bc2.gb
flu-seqneut-25to26_H3N2_16_bc1,plate5-G4_A_Vermont_73_2025_bc1.gb
flu-seqneut-25to26_H3N2_16_bc2,plate5-H4_A_Vermont_73_2025_bc2.gb
