Comparison,Fold change,Sig.,p (BH),p (raw)
D.3.1.1 vs. D.3.1 (primary),0.76×,***,uncorrected,< 1 × 10⁻⁵
D.3.1.1 vs. D.3.1,0.76×,***,< 1 × 10⁻⁵,< 1 × 10⁻⁵
