Comparison,Fold change,Sig.,p (BH),p (raw)
K vs. all others (primary),0.77×,***,uncorrected,< 1 × 10⁻⁵
J.2.2 vs. J.2,1.29×,***,< 1 × 10⁻⁵,< 1 × 10⁻⁵
J.2.3 vs. J.2,0.96×,ns,p = 0.71,p = 0.64
J.2.3 vs. J.2.2,0.75×,***,< 1 × 10⁻⁵,< 1 × 10⁻⁵
J.2.4 vs. J.2,0.80×,***,< 1 × 10⁻⁵,< 1 × 10⁻⁵
J.2.4 vs. J.2.2,0.62×,***,< 1 × 10⁻⁵,< 1 × 10⁻⁵
J.2.4 vs. J.2.3,0.82×,***,< 1 × 10⁻⁵,< 1 × 10⁻⁵
K vs. J.2,0.78×,***,< 1 × 10⁻⁵,< 1 × 10⁻⁵
K vs. J.2.2,0.61×,***,< 1 × 10⁻⁵,< 1 × 10⁻⁵
K vs. J.2.3,0.81×,***,< 1 × 10⁻⁵,< 1 × 10⁻⁵
K vs. J.2.4,0.98×,ns,p = 0.92,p = 0.92
