serum,strain,plate_barcode,dilution_factor,frac_infectivity_raw,frac_infectivity_ceiling
seqneut25to26_sera_0031,A/Alagoas/4130/2025_H3N2,plate7-A/Alagoas/4130/2025_H3N2,40,0.07013,0.07013
seqneut25to26_sera_0031,A/Alagoas/4130/2025_H3N2,plate7-A/Alagoas/4130/2025_H3N2,92,0.2643,0.2643
seqneut25to26_sera_0031,A/Alagoas/4130/2025_H3N2,plate7-A/Alagoas/4130/2025_H3N2,212,0.3505,0.3505
seqneut25to26_sera_0031,A/Alagoas/4130/2025_H3N2,plate7-A/Alagoas/4130/2025_H3N2,487,0.6172,0.6172
seqneut25to26_sera_0031,A/Alagoas/4130/2025_H3N2,plate7-A/Alagoas/4130/2025_H3N2,1119,0.6885,0.6885
seqneut25to26_sera_0031,A/Alagoas/4130/2025_H3N2,plate7-A/Alagoas/4130/2025_H3N2,2575,0.6478,0.6478
seqneut25to26_sera_0031,A/Alagoas/4130/2025_H3N2,plate7-A/Alagoas/4130/2025_H3N2,5921,0.8245,0.8245
seqneut25to26_sera_0031,A/Alagoas/4130/2025_H3N2,plate7-A/Alagoas/4130/2025_H3N2,1.362e+04,0.9287,0.9287
seqneut25to26_sera_0031,A/Anapolis/LEIAL6543/2025_H3N2,plate7-A/Anapolis/LEIAL6543/2025_H3N2,40,0.02532,0.02532
seqneut25to26_sera_0031,A/Anapolis/LEIAL6543/2025_H3N2,plate7-A/Anapolis/LEIAL6543/2025_H3N2,92,0.1465,0.1465
seqneut25to26_sera_0031,A/Anapolis/LEIAL6543/2025_H3N2,plate7-A/Anapolis/LEIAL6543/2025_H3N2,212,0.3577,0.3577
seqneut25to26_sera_0031,A/Anapolis/LEIAL6543/2025_H3N2,plate7-A/Anapolis/LEIAL6543/2025_H3N2,487,0.4549,0.4549
seqneut25to26_sera_0031,A/Anapolis/LEIAL6543/2025_H3N2,plate7-A/Anapolis/LEIAL6543/2025_H3N2,1119,0.7245,0.7245
seqneut25to26_sera_0031,A/Anapolis/LEIAL6543/2025_H3N2,plate7-A/Anapolis/LEIAL6543/2025_H3N2,2575,0.7206,0.7206
seqneut25to26_sera_0031,A/Anapolis/LEIAL6543/2025_H3N2,plate7-A/Anapolis/LEIAL6543/2025_H3N2,5921,0.7149,0.7149
seqneut25to26_sera_0031,A/Anapolis/LEIAL6543/2025_H3N2,plate7-A/Anapolis/LEIAL6543/2025_H3N2,1.362e+04,0.9265,0.9265
seqneut25to26_sera_0031,A/Andalucia/PMC-00977/2025_H1N1,plate7-A/Andalucia/PMC-00977/2025_H1N1,40,0.7508,0.7508
seqneut25to26_sera_0031,A/Andalucia/PMC-00977/2025_H1N1,plate7-A/Andalucia/PMC-00977/2025_H1N1,92,0.7343,0.7343
seqneut25to26_sera_0031,A/Andalucia/PMC-00977/2025_H1N1,plate7-A/Andalucia/PMC-00977/2025_H1N1,212,0.9172,0.9172
seqneut25to26_sera_0031,A/Andalucia/PMC-00977/2025_H1N1,plate7-A/Andalucia/PMC-00977/2025_H1N1,487,0.8942,0.8942
seqneut25to26_sera_0031,A/Andalucia/PMC-00977/2025_H1N1,plate7-A/Andalucia/PMC-00977/2025_H1N1,1119,0.8799,0.8799
seqneut25to26_sera_0031,A/Andalucia/PMC-00977/2025_H1N1,plate7-A/Andalucia/PMC-00977/2025_H1N1,2575,0.8644,0.8644
seqneut25to26_sera_0031,A/Andalucia/PMC-00977/2025_H1N1,plate7-A/Andalucia/PMC-00977/2025_H1N1,5921,0.7529,0.7529
seqneut25to26_sera_0031,A/Andalucia/PMC-00977/2025_H1N1,plate7-A/Andalucia/PMC-00977/2025_H1N1,1.362e+04,0.8648,0.8648
seqneut25to26_sera_0031,A/Aragon/2046/2025_H1N1,plate7-A/Aragon/2046/2025_H1N1,40,0.5933,0.5933
seqneut25to26_sera_0031,A/Aragon/2046/2025_H1N1,plate7-A/Aragon/2046/2025_H1N1,92,0.6624,0.6624
seqneut25to26_sera_0031,A/Aragon/2046/2025_H1N1,plate7-A/Aragon/2046/2025_H1N1,212,0.8445,0.8445
seqneut25to26_sera_0031,A/Aragon/2046/2025_H1N1,plate7-A/Aragon/2046/2025_H1N1,487,0.7905,0.7905
seqneut25to26_sera_0031,A/Aragon/2046/2025_H1N1,plate7-A/Aragon/2046/2025_H1N1,1119,0.8137,0.8137
seqneut25to26_sera_0031,A/Aragon/2046/2025_H1N1,plate7-A/Aragon/2046/2025_H1N1,2575,0.7359,0.7359
seqneut25to26_sera_0031,A/Aragon/2046/2025_H1N1,plate7-A/Aragon/2046/2025_H1N1,5921,0.8386,0.8386
seqneut25to26_sera_0031,A/Aragon/2046/2025_H1N1,plate7-A/Aragon/2046/2025_H1N1,1.362e+04,0.772,0.772
seqneut25to26_sera_0031,A/Arica/59150/2025_H3N2,plate7-A/Arica/59150/2025_H3N2,40,0.03574,0.03574
seqneut25to26_sera_0031,A/Arica/59150/2025_H3N2,plate7-A/Arica/59150/2025_H3N2,92,0.2072,0.2072
seqneut25to26_sera_0031,A/Arica/59150/2025_H3N2,plate7-A/Arica/59150/2025_H3N2,212,0.3351,0.3351
seqneut25to26_sera_0031,A/Arica/59150/2025_H3N2,plate7-A/Arica/59150/2025_H3N2,487,0.4591,0.4591
seqneut25to26_sera_0031,A/Arica/59150/2025_H3N2,plate7-A/Arica/59150/2025_H3N2,1119,0.6665,0.6665
seqneut25to26_sera_0031,A/Arica/59150/2025_H3N2,plate7-A/Arica/59150/2025_H3N2,2575,0.7571,0.7571
seqneut25to26_sera_0031,A/Arica/59150/2025_H3N2,plate7-A/Arica/59150/2025_H3N2,5921,0.7334,0.7334
seqneut25to26_sera_0031,A/Arica/59150/2025_H3N2,plate7-A/Arica/59150/2025_H3N2,1.362e+04,0.7498,0.7498
seqneut25to26_sera_0031,A/Bahia/3102/2025_H3N2,plate7-A/Bahia/3102/2025_H3N2,40,0.03679,0.03679
seqneut25to26_sera_0031,A/Bahia/3102/2025_H3N2,plate7-A/Bahia/3102/2025_H3N2,92,0.08178,0.08178
seqneut25to26_sera_0031,A/Bahia/3102/2025_H3N2,plate7-A/Bahia/3102/2025_H3N2,212,0.3809,0.3809
seqneut25to26_sera_0031,A/Bahia/3102/2025_H3N2,plate7-A/Bahia/3102/2025_H3N2,487,0.4518,0.4518
