well,serum,dilution_factor,replicate,fastq
A1,seqneut25to26_sera_3034,40,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260130_VH00319_599_AAF23LGHV/Unaligned/Project_bloom_lab/PlateB_1_S1_R1_001.fastq.gz
B1,seqneut25to26_sera_3034,92,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260130_VH00319_599_AAF23LGHV/Unaligned/Project_bloom_lab/PlateB_2_S2_R1_001.fastq.gz
C1,seqneut25to26_sera_3034,212,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260130_VH00319_599_AAF23LGHV/Unaligned/Project_bloom_lab/PlateB_3_S3_R1_001.fastq.gz
D1,seqneut25to26_sera_3034,487,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260130_VH00319_599_AAF23LGHV/Unaligned/Project_bloom_lab/PlateB_4_S4_R1_001.fastq.gz
E1,seqneut25to26_sera_3034,1119,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260130_VH00319_599_AAF23LGHV/Unaligned/Project_bloom_lab/PlateB_5_S5_R1_001.fastq.gz
F1,seqneut25to26_sera_3034,2575,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260130_VH00319_599_AAF23LGHV/Unaligned/Project_bloom_lab/PlateB_6_S6_R1_001.fastq.gz
G1,seqneut25to26_sera_3034,5921,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260130_VH00319_599_AAF23LGHV/Unaligned/Project_bloom_lab/PlateB_7_S7_R1_001.fastq.gz
H1,seqneut25to26_sera_3034,13619,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260130_VH00319_599_AAF23LGHV/Unaligned/Project_bloom_lab/PlateB_8_S8_R1_001.fastq.gz
A2,seqneut25to26_sera_3035,40,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260130_VH00319_599_AAF23LGHV/Unaligned/Project_bloom_lab/PlateB_9_S9_R1_001.fastq.gz
B2,seqneut25to26_sera_3035,92,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260130_VH00319_599_AAF23LGHV/Unaligned/Project_bloom_lab/PlateB_10_S10_R1_001.fastq.gz
C2,seqneut25to26_sera_3035,212,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260130_VH00319_599_AAF23LGHV/Unaligned/Project_bloom_lab/PlateB_11_S11_R1_001.fastq.gz
D2,seqneut25to26_sera_3035,487,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260130_VH00319_599_AAF23LGHV/Unaligned/Project_bloom_lab/PlateB_12_S12_R1_001.fastq.gz
E2,seqneut25to26_sera_3035,1119,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260130_VH00319_599_AAF23LGHV/Unaligned/Project_bloom_lab/PlateB_13_S13_R1_001.fastq.gz
F2,seqneut25to26_sera_3035,2575,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260130_VH00319_599_AAF23LGHV/Unaligned/Project_bloom_lab/PlateB_14_S14_R1_001.fastq.gz
G2,seqneut25to26_sera_3035,5921,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260130_VH00319_599_AAF23LGHV/Unaligned/Project_bloom_lab/PlateB_15_S15_R1_001.fastq.gz
H2,seqneut25to26_sera_3035,13619,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260130_VH00319_599_AAF23LGHV/Unaligned/Project_bloom_lab/PlateB_16_S16_R1_001.fastq.gz
A3,seqneut25to26_sera_3036,40,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260130_VH00319_599_AAF23LGHV/Unaligned/Project_bloom_lab/PlateB_17_S17_R1_001.fastq.gz
B3,seqneut25to26_sera_3036,92,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260130_VH00319_599_AAF23LGHV/Unaligned/Project_bloom_lab/PlateB_18_S18_R1_001.fastq.gz
C3,seqneut25to26_sera_3036,212,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260130_VH00319_599_AAF23LGHV/Unaligned/Project_bloom_lab/PlateB_19_S19_R1_001.fastq.gz
D3,seqneut25to26_sera_3036,487,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260130_VH00319_599_AAF23LGHV/Unaligned/Project_bloom_lab/PlateB_20_S20_R1_001.fastq.gz
